step,scf_accuracy_ry
1,0.12009507
2,0.07978842
3,0.02053941
4,0.02284138
5,0.04957737
6,0.01543189
7,0.00063247
8,0.00111738
9,0.00073645
10,0.0001161
11,0.00018634
12,0.00016333
13,6.665e-05
14,0.00015978
15,0.00013406
16,2.87e-05
17,3.877e-05
18,3.176e-05
19,2.309e-05
20,2.14e-05
21,3.04e-06
22,5.57e-06
23,6.26e-06
24,1.77e-06
25,2.3e-07
26,1.9e-07
1,0.00031736
2,0.00022748
3,2.558e-05
4,7.873e-05
5,0.00013467
6,0.00041779
7,5.29e-06
8,6.515e-05
9,9.13e-06
10,1.321e-05
11,1.339e-05
12,1.349e-05
13,1.339e-05
14,5.9e-06
15,3e-07
16,6e-08
1,5.977e-05
2,4.274e-05
3,3.94e-06
4,1.049e-05
5,5.537e-05
6,2.1e-07
7,1.44e-06
