step,energy_ry
86,-11738.27504678
23,-11738.27727468
27,-11738.2793781
29,-11738.28168027
32,-11738.28356189
32,-11738.28414295
31,-11738.28488924
31,-11738.28572065
27,-11738.28603027
28,-11738.28628186
37,-11738.28656081
35,-11738.28688423
33,-11738.28704886
31,-11738.28718199
35,-11738.28731176
33,-11738.28744651
36,-11738.28757162
34,-11738.28770983
34,-11738.28784683
36,-11738.28800517
37,-11738.28815981
34,-11738.28832414
36,-11738.28850054
38,-11738.2886978
38,-11738.28889203
40,-11738.28908783
38,-11738.28928683
37,-11738.28949837
37,-11738.28976112
39,-11738.28993104
33,-11738.29005673
40,-11738.29017514
39,-11738.29029717
38,-11738.29042186
37,-11738.29050946
39,-11738.29058021
37,-11738.29068125
40,-11738.29078655
42,-11738.29090919
36,-11738.29102797
35,-11738.29115053
36,-11738.29125121
38,-11738.29135801
32,-11738.29148219
36,-11738.29158183
36,-11738.2916568
38,-11738.29170714
