step,gradient_error_ry_bohr
86,0.026
23,0.026
27,0.016
29,0.012
32,0.0058
32,0.0074
31,0.0072
31,0.0051
27,0.005
28,0.006
37,0.0048
35,0.0026
33,0.0026
31,0.0025
35,0.0023
33,0.002
36,0.0025
34,0.0027
34,0.0031
36,0.0026
37,0.0024
34,0.0026
36,0.0029
38,0.0031
38,0.0032
40,0.0032
38,0.0027
37,0.0025
37,0.0031
39,0.0021
33,0.002
40,0.002
39,0.003
38,0.0025
37,0.0014
39,0.0015
37,0.0023
40,0.0023
42,0.0021
36,0.0023
35,0.002
36,0.0023
38,0.0026
32,0.0015
36,0.0014
36,0.0013
38,0.0011
34,0.0013
33,0.0019
