step,scf_accuracy_ry
1,115.91453787
2,127.08526054
3,45.65530952
4,22.08609026
5,26.51126965
6,22.60440589
7,14.09881808
8,7.94637187
9,6.1497629
10,6.21345142
11,5.14750446
12,11.64899472
13,8.44872345
14,6.34261004
15,7.20418759
16,3.52114412
17,4.76706474
18,4.65333939
19,3.41673845
20,2.582713
21,2.81560387
22,1.14241093
23,0.32060382
24,0.22740653
25,0.22500956
26,0.13570321
27,0.14964283
28,0.05315736
29,0.05271968
30,0.04293865
31,0.03698478
32,0.032557
33,0.02750422
34,0.01973913
35,0.01465722
36,0.01832999
37,0.01091964
38,0.00678306
39,0.00392835
40,0.002085
41,0.00229671
42,0.00186398
43,0.00157714
44,0.00113603
45,0.00160004
46,0.00099462
47,0.00160489
48,0.00034551
49,0.00024158
50,0.00018779
51,0.00026374
52,0.00016943
53,0.00011974
54,0.00010517
55,8.04e-05
56,0.00017328
57,4.873e-05
58,0.00013617
59,1.595e-05
60,1.482e-05
61,1.541e-05
62,1.358e-05
63,9.95e-06
64,1.154e-05
65,9.63e-06
66,8.8e-06
67,4.06e-06
68,3.66e-06
69,2.79e-06
70,2.55e-06
71,2.73e-06
72,1.02e-06
73,2.2e-06
74,1.44e-06
75,1.47e-06
76,6.9e-07
77,8.3e-07
78,4.4e-07
79,3.1e-07
80,2.9e-07
81,4e-07
82,2.1e-07
83,2.3e-07
84,2.6e-07
85,3.2e-07
86,1.4e-07
1,0.00057232
2,0.0046437
3,0.00017561
4,0.00016228
5,0.00013068
6,0.000122
7,6.157e-05
8,1.904e-05
9,1.364e-05
10,1.513e-05
11,1.122e-05
12,4.44e-06
13,2.73e-06
14,2.61e-06
15,9.7e-07
16,8e-07
17,8.9e-07
18,7.4e-07
19,4e-07
20,4.4e-07
21,3.9e-07
22,3.8e-07
23,1.2e-07
1,0.00058988
2,0.00484268
3,0.00015638
4,0.00013307
5,0.00011334
6,7.36e-05
7,6.464e-05
8,1.966e-05
9,1.43e-05
10,8.32e-06
11,1.796e-05
12,4.03e-06
13,6.78e-06
14,2.37e-06
15,1.21e-06
16,9.8e-07
17,1.82e-06
18,1.03e-06
19,2.6e-07
20,3.4e-07
21,1.5e-07
22,1.2e-07
23,2e-07
24,6e-08
25,6e-08
26,5e-08
27,4e-08
1,0.00044452
2,0.00078533
3,0.000315
4,0.00030757
5,0.00020649
6,8.086e-05
7,5.876e-05
8,4.375e-05
9,2.695e-05
10,1.426e-05
11,1.671e-05
12,1.004e-05
13,8.36e-06
14,4.43e-06
15,3.46e-06
16,1.7e-06
17,1.74e-06
18,2.78e-06
19,5.4e-07
20,3.7e-07
21,5.4e-07
22,2.7e-07
23,5.1e-07
24,1e-07
25,7e-08
26,1e-07
27,4e-08
28,6e-08
29,2e-08
1,0.0009473
2,0.00142077
3,0.00081165
4,0.00057512
5,0.00051152
6,0.00021537
7,0.00015106
8,9.378e-05
9,6.042e-05
10,2.95e-05
11,3.583e-05
12,2.031e-05
13,1.304e-05
14,1.34e-05
15,3.69e-06
16,3.27e-06
17,2.95e-06
18,1.99e-06
19,2.63e-06
20,1.41e-06
21,6.5e-07
22,6e-07
23,4.9e-07
24,4.3e-07
25,2.9e-07
26,1.6e-07
27,8e-08
28,1.3e-07
29,7e-08
30,1e-07
31,5e-08
32,2e-08
1,0.00032791
2,0.00150903
3,0.00017198
4,0.00015547
5,0.0001179
6,5.144e-05
7,4.432e-05
8,1.816e-05
9,1.278e-05
10,5.81e-06
11,7.73e-06
12,4.29e-06
13,6.37e-06
14,1.51e-06
15,7.7e-07
16,7.5e-07
17,9.2e-07
18,5.5e-07
19,3.9e-07
20,4.7e-07
21,3.3e-07
22,2.7e-07
23,2.9e-07
24,2.5e-07
25,5e-08
26,4e-08
27,2e-08
28,2e-08
29,1e-08
30,1e-08
31,1e-08
32,9.5e-09
1,0.00029497
2,0.00051218
3,0.00024061
4,0.00017605
5,0.00016455
6,5.787e-05
7,4.755e-05
8,2.149e-05
9,1.449e-05
10,7.13e-06
11,1.158e-05
12,5.06e-06
13,3.33e-06
14,4.85e-06
15,1.07e-06
16,1e-06
17,1.33e-06
18,9.5e-07
19,3.9e-07
20,4.3e-07
21,2.7e-07
22,3e-07
23,2.3e-07
24,6e-08
25,6e-08
26,5e-08
27,4e-08
28,5e-08
29,3e-08
30,1e-08
31,1e-08
1,0.00061852
2,0.00249144
3,0.00034238
4,0.00027673
5,0.00025591
6,0.00016842
7,9.517e-05
8,3.531e-05
9,2.455e-05
10,1.317e-05
11,2.99e-05
12,6.66e-06
13,3.34e-06
14,6.49e-06
15,1.7e-06
16,1.5e-06
17,1.22e-06
18,1.99e-06
19,5.5e-07
20,4.6e-07
21,6.1e-07
22,3.8e-07
23,3.3e-07
24,1.2e-07
25,1.9e-07
26,9e-08
27,7e-08
28,6e-08
29,1.3e-07
30,2e-08
31,1e-08
1,0.00013029
2,0.00028271
3,9.826e-05
4,7.239e-05
5,6.875e-05
6,2.9e-05
7,2.341e-05
8,1.114e-05
9,8.45e-06
10,3.8e-06
11,9.5e-06
12,1.58e-06
13,1.35e-06
14,1.24e-06
15,5.1e-07
16,3.5e-07
17,3e-07
18,3e-07
19,2.3e-07
20,1.2e-07
21,1e-07
22,6e-08
23,4e-08
24,5e-08
25,3e-08
26,4e-08
27,7e-09
1,0.00010503
2,0.00015489
3,9.012e-05
4,5.686e-05
5,5.462e-05
6,1.347e-05
7,1.313e-05
8,8.02e-06
9,5.85e-06
10,3.81e-06
11,4.87e-06
12,1.49e-06
13,1.7e-06
14,8.5e-07
15,4.7e-07
16,2.7e-07
17,3e-07
18,1.9e-07
19,2.6e-07
20,8e-08
21,7e-08
22,9e-08
23,5e-08
24,8e-08
25,1e-08
26,8.1e-09
27,9.4e-09
28,4.5e-09
1,0.00019502
2,0.00028717
3,0.0001393
4,0.00010117
5,9.214e-05
6,2.544e-05
7,2.465e-05
8,1.329e-05
9,9.24e-06
10,4.11e-06
11,2.91e-06
12,3.75e-06
13,1.58e-06
14,1.65e-06
15,5.9e-07
16,4.4e-07
17,4.5e-07
18,3.8e-07
19,2.3e-07
20,1.8e-07
21,2.2e-07
22,1.4e-07
23,1.1e-07
