step,total_magnetization_bohr_cell
1,73.55
2,112.04
3,109.66
4,108.61
5,107.6
6,94.35
7,81.55
8,64.78
9,63.69
10,63.4
11,63.14
12,56.4
13,55.47
14,58.52
15,58.11
16,55.58
17,53.63
18,53.33
19,53.2
20,45.45
21,45.58
22,43.06
23,42.31
24,42.19
25,42.17
26,42.14
27,42.15
28,42.12
29,42.12
30,42.12
31,42.11
32,42.1
33,42.1
34,42.09
35,42.08
36,42.08
37,42.06
38,42.05
39,42.05
40,42.04
41,42.04
42,42.04
43,42.04
44,42.04
45,42.04
46,42.03
47,42.03
48,42.03
49,42.03
50,42.03
51,42.03
52,42.03
53,42.03
54,42.03
55,42.03
56,42.03
57,42.03
58,42.03
59,42.03
60,42.03
61,42.03
62,42.03
63,42.03
