atom,element,valence_electron,bader_charge,delta_q
1,Ni,10,10.012994,-0.012994000000000838
2,Ni,10,10.011053,-0.011053000000000424
3,Ni,10,10.010193,-0.01019299999999923
4,Ni,10,10.011143,-0.011143000000000569
5,Ni,10,10.010983,-0.010982999999999521
6,Ni,10,10.011934,-0.011934000000000111
7,Ni,10,10.013288,-0.0132879999999993
8,Ni,10,10.010505,-0.010505000000000209
9,Ni,10,10.004767,-0.0047669999999993
10,Ni,10,10.009092,-0.009092000000000766
11,Ni,10,10.011568,-0.011568000000000467
12,Ni,10,10.014138,-0.014138000000000872
13,Ni,10,10.0088,-0.008800000000000807
14,Ni,10,10.008355,-0.00835499999999989
15,Ni,10,10.006261,-0.006261000000000294
16,Ni,10,10.009187,-0.009187000000000722
17,Ni,10,10.012755,-0.012755000000000294
18,Ni,10,10.013275,-0.013275000000000148
19,Ni,10,10.009826,-0.009826000000000334
20,Ni,10,10.009042,-0.009042000000000883
21,Ni,10,10.008577,-0.008577000000000723
22,Ni,10,10.012216,-0.012216000000000449
23,Ni,10,10.01407,-0.014070000000000249
24,Ni,10,10.010004,-0.010004000000000346
25,Ni,10,10.009952,-0.009952000000000183
26,Ni,10,10.009401,-0.009401000000000437
27,Ni,10,10.013433,-0.01343299999999914
28,Ni,10,10.013381,-0.013381000000000753
29,Ni,10,10.013877,-0.013877000000000805
30,Ni,10,10.011461,-0.01146100000000061
31,Ni,10,10.012318,-0.012318000000000495
32,Ni,10,10.011422,-0.0114219999999996
33,Ni,10,10.013623,-0.013623000000000829
34,Ni,10,10.013299,-0.01329899999999995
35,Ni,10,10.012145,-0.012145000000000294
36,Ni,10,10.010545,-0.01054500000000047
37,Ni,10,10.00042,-0.00042000000000008697
38,Ni,10,10.015159,-0.015159000000000589
39,Ni,10,10.01816,-0.018159999999999954
40,Ni,10,9.996927,0.0030730000000005475
41,Ni,10,9.998046,0.001953999999999567
42,Ni,10,10.012688,-0.012688000000000699
43,Ni,10,10.007519,-0.0075190000000002755
44,Ni,10,10.011313,-0.011312999999999462
45,Ni,10,9.982521,0.0174789999999998
46,Ni,10,10.000078,-7.800000000024454e-05
47,Ni,10,9.984452,0.015548000000000783
48,Ni,10,10.00451,-0.004509999999999792
49,Ni,10,9.980513,0.01948699999999981
50,Ni,10,9.971493,0.028506999999999394
51,Ni,10,9.990935,0.009064999999999657
52,Ni,10,9.992597,0.007403000000000048
53,Ni,10,9.993824,0.006175999999999959
54,Ni,10,9.975539,0.02446100000000051
55,Ni,10,9.990326,0.009674000000000404
56,Ni,10,9.976255,0.023744999999999905
57,Ni,10,9.960818,0.03918200000000027
58,Ni,10,9.985482,0.014518000000000697
59,Ni,10,9.979257,0.020742999999999512
60,Ni,10,9.984105,0.015895000000000437
61,Ni,10,9.980413,0.019586999999999577
62,Ni,10,9.977934,0.022066000000000585
63,Ni,10,9.983367,0.016633000000000564
64,Ni,10,9.974015,0.02598500000000037
65,Ni,10,9.999714,0.0002859999999991203
66,Ni,10,9.978879,0.021121000000000834
