step,total_magnetization_bohr_cell
1,42.02
2,42.02
3,42.02
1,42.02
2,42.01
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
28,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
28,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
28,42.02
29,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
28,42.02
29,42.02
30,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
28,42.02
29,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
18,42.02
19,42.02
20,42.02
21,42.02
22,42.02
23,42.02
24,42.02
25,42.02
26,42.02
27,42.02
28,42.02
1,42.02
2,42.02
3,42.02
4,42.02
5,42.02
6,42.02
7,42.02
8,42.02
9,42.02
10,42.02
11,42.02
12,42.02
13,42.02
14,42.02
15,42.02
16,42.02
17,42.02
