atom,element,valence_electron,bader_charge,delta_q
1,Ni,10,9.992526,0.007474000000000203
2,Ni,10,10.019444,-0.019444000000000017
3,Ni,10,10.018473,-0.018473000000000184
4,Ni,10,10.020046,-0.020046000000000674
5,Ni,10,9.995747,0.004253000000000284
6,Ni,10,9.995729,0.004270999999999248
7,Ni,10,9.989319,0.01068099999999994
8,Ni,10,9.983488,0.016512000000000526
9,Ni,10,10.000504,-0.0005039999999993938
10,Ni,10,9.997946,0.002053999999999334
11,Ni,10,10.011254,-0.011253999999999209
12,Ni,10,10.035467,-0.03546700000000058
13,Ni,10,10.017935,-0.01793499999999959
14,Ni,10,9.973477,0.026522999999999186
15,Ni,10,10.010589,-0.010588999999999515
16,Ni,10,10.033804,-0.033803999999999945
17,Ni,10,10.018018,-0.018017999999999645
18,Ni,10,10.016779,-0.016778999999999655
19,Ni,10,10.034963,-0.03496299999999941
20,Ni,10,9.99809,0.0019100000000005224
21,Ni,10,10.003885,-0.0038850000000003604
22,Ni,10,9.990163,0.009836999999999207
23,Ni,10,10.032774,-0.03277399999999986
24,Ni,10,10.008482,-0.008482000000000767
25,Ni,10,9.996204,0.0037959999999994665
26,Ni,10,10.011361,-0.011361000000000843
27,Ni,10,10.028787,-0.028786999999999452
28,Ni,10,10.007055,-0.007054999999999367
29,Ni,10,10.034832,-0.03483199999999975
30,Ni,10,10.018518,-0.018518000000000256
31,Ni,10,10.019839,-0.019838999999999274
32,Ni,10,10.023567,-0.023566999999999894
33,Ni,10,10.018057,-0.018057000000000656
34,Ni,10,10.008646,-0.008646000000000598
35,Ni,10,10.007675,-0.0076750000000007645
36,Ni,10,10.037305,-0.03730499999999992
37,Ni,10,9.978624,0.02137600000000006
38,Ni,10,9.991002,0.008998000000000062
39,Ni,10,9.969256,0.030744000000000327
40,Ni,10,9.982505,0.01749500000000026
41,Ni,10,9.975108,0.02489199999999947
42,Ni,10,9.963099,0.036901000000000295
43,Ni,10,9.969333,0.030666999999999334
44,Ni,10,9.987931,0.01206900000000033
45,Ni,10,9.999598,0.0004019999999993473
46,Ni,10,9.982688,0.017312000000000438
47,Ni,10,9.986323,0.013676999999999495
48,Ni,10,9.991278,0.008722000000000563
49,Ni,10,9.969312,0.030687999999999604
50,Ni,10,9.974365,0.025634999999999408
51,Ni,10,9.961107,0.038892999999999844
52,Ni,10,10.017611,-0.017611000000000487
53,Ni,10,9.987931,0.01206900000000033
54,Ni,10,10.000186,-0.00018599999999935335
55,Ni,10,9.981796,0.018204000000000775
56,Ni,10,9.983153,0.01684700000000028
57,Ni,10,9.98894,0.011060000000000514
58,Ni,10,10.025536,-0.02553600000000067
59,Ni,10,10.034426,-0.034425999999999846
60,Ni,10,10.007088,-0.007087999999999539
61,Ni,10,9.975109,0.02489100000000022
62,Ni,10,9.985885,0.014115000000000322
63,Ni,10,9.988078,0.01192200000000021
64,Ni,10,10.006577,-0.006577000000000055
65,Ni,10,9.990723,0.009277000000000868
66,Ni,10,9.993815,0.006185000000000329
67,Ni,10,9.985641,0.014359000000000677
68,Ni,10,9.991382,0.008618000000000237
69,Ni,10,9.999274,0.0007260000000002265
70,Ni,10,10.007943,-0.007942999999999145
71,Ni,10,9.966426,0.03357399999999977
72,Ni,10,9.99111,0.008889999999999176
73,Ag,11,10.977743,0.02225699999999975
74,Ag,11,10.984136,0.015864000000000544
75,Ag,11,10.963595,0.03640500000000024
76,Ag,11,10.96566,0.03434000000000026
77,Ag,11,10.963981,0.03601899999999958
78,Ag,11,10.964257,0.03574300000000008
79,Ag,11,10.985639,0.01436099999999918
80,Ag,11,10.991808,0.008191999999999311
81,Ag,11,10.987633,0.01236699999999935
82,Ag,11,10.979327,0.020673000000000386
83,Ag,11,10.962265,0.03773499999999963
84,Ag,11,10.973331,0.026669000000000054
85,Ag,11,10.985151,0.01484899999999989
86,Ag,11,10.975744,0.02425599999999939
87,Ag,11,10.978456,0.02154400000000045
88,Ag,11,10.967022,0.03297799999999995
89,Ag,11,10.987668,0.012332000000000676
90,Ag,11,10.9596,0.04039999999999999
91,Ag,11,10.95456,0.04543999999999926
92,Ag,11,10.964933,0.03506699999999974
93,Ag,11,10.982571,0.017428999999999917
94,Ag,11,10.979862,0.020137999999999323
95,Ag,11,10.978089,0.021910999999999348
96,Ag,11,10.950024,0.04997599999999913
97,Ag,11,10.976252,0.023747999999999436
98,Ag,11,11.013595,-0.013595000000000468
99,Ag,11,11.032058,-0.032057999999999254
100,Ag,11,11.032148,-0.0321479999999994
101,Ag,11,11.024776,-0.024775999999999243
102,Ag,11,11.008307,-0.008307000000000286
103,Ag,11,11.009951,-0.009950999999999155
104,Ag,11,11.015489,-0.01548900000000053
105,Ag,11,11.035642,-0.035641999999999285
106,Ag,11,11.019766,-0.019766000000000616
107,Ag,11,11.025937,-0.025937000000000765
108,Ag,11,11.032148,-0.0321479999999994
109,Ag,11,11.016406,-0.01640599999999992
110,Ag,11,11.035477,-0.0354770000000002
111,Ag,11,11.037933,-0.03793300000000066
112,Ag,11,11.030556,-0.030556000000000694
113,Ag,11,11.024824,-0.024824000000000623
114,Ag,11,11.019881,-0.019880999999999815
115,Ag,11,11.02062,-0.020619999999999195
116,Ag,11,11.057349,-0.057349000000000316
117,Ag,11,11.041648,-0.04164800000000035
118,Ag,11,11.027827,-0.027827000000000268
119,Ag,11,11.025861,-0.0258610000000008
120,Ag,11,11.029661,-0.029661000000000826
121,Ag,11,11.022702,-0.022702000000000666
122,Ag,11,11.018883,-0.01888300000000065
