step,energy_ry
1,-5913.55252644
2,-5913.7421277
3,-5913.83552784
4,-5913.90801381
5,-5913.97923866
6,-5914.01643306
7,-5914.04483939
8,-5914.05638119
9,-5914.06196348
10,-5914.0666654
11,-5914.07029267
12,-5914.07287279
13,-5914.07594209
14,-5914.07956992
15,-5914.08528638
16,-5914.09345309
17,-5914.10264909
18,-5914.11274798
19,-5914.12827293
20,-5914.14749889
21,-5914.17136093
22,-5914.19087384
23,-5914.20179689
24,-5914.21135078
25,-5914.22078066
26,-5914.22447858
27,-5914.22849168
28,-5914.23112292
29,-5914.23343277
30,-5914.23598354
31,-5914.23908287
32,-5914.24290177
33,-5914.24547019
34,-5914.24754566
35,-5914.24994813
36,-5914.2529424
37,-5914.25537203
38,-5914.25765697
39,-5914.26018385
40,-5914.26348604
41,-5914.2707945
42,-5914.27839518
43,-5914.28746009
44,-5914.29459638
45,-5914.3020293
46,-5914.31548396
47,-5914.32398372
48,-5914.33335114
49,-5914.34471394
50,-5914.35156139
51,-5914.35674914
52,-5914.3607856
53,-5914.36354411
54,-5914.36566015
55,-5914.36802539
56,-5914.36896292
57,-5914.3698384
58,-5914.37092973
59,-5914.37199676
60,-5914.37325334
61,-5914.37499374
62,-5914.37606908
63,-5914.3770763
64,-5914.37809031
65,-5914.37910757
66,-5914.38028316
67,-5914.38147411
68,-5914.3821307
69,-5914.38308444
70,-5914.38379031
71,-5914.38455705
72,-5914.38553018
73,-5914.386395
74,-5914.38693223
75,-5914.3873785
76,-5914.38766759
77,-5914.38794702
78,-5914.38816095
79,-5914.38834921
80,-5914.38857344
81,-5914.38883158
82,-5914.38919697
83,-5914.38950801
84,-5914.38980702
85,-5914.39017294
86,-5914.39056
87,-5914.39106743
88,-5914.39165299
89,-5914.39226057
90,-5914.3930117
91,-5914.39404775
92,-5914.39525908
93,-5914.39548268
94,-5914.39559182
