step,gradient_error_ry_bohr
1,0.11
2,0.04
3,0.027
4,0.035
5,0.036
6,0.028
7,0.018
8,0.014
9,0.012
10,0.0093
11,0.0065
12,0.007
13,0.0082
14,0.0092
15,0.01
16,0.013
17,0.017
18,0.019
19,0.019
20,0.019
21,0.018
22,0.021
23,0.016
24,0.013
25,0.012
26,0.012
27,0.0071
28,0.0074
29,0.007
30,0.0068
31,0.0073
32,0.0063
33,0.0065
34,0.0077
35,0.008
36,0.0074
37,0.0062
38,0.007
39,0.0084
40,0.0087
41,0.011
42,0.015
43,0.019
44,0.018
45,0.015
46,0.012
47,0.012
48,0.014
49,0.012
50,0.01
51,0.0095
52,0.0074
53,0.0099
54,0.0082
55,0.0058
56,0.0043
57,0.0034
58,0.0046
59,0.0051
60,0.0053
61,0.0065
62,0.0058
63,0.0039
64,0.0038
65,0.0042
66,0.0042
67,0.0039
68,0.0042
69,0.0036
70,0.0035
71,0.0033
72,0.0025
73,0.0033
74,0.0029
75,0.0019
76,0.002
77,0.0021
78,0.0019
79,0.0017
80,0.0018
81,0.0017
82,0.0019
83,0.0021
84,0.0022
85,0.0025
86,0.0026
87,0.0025
