step,scf_accuracy_ry
1,4.89e-06
2,0.00028376
3,2.02e-06
4,2.2e-07
5,6e-09
1,5.963e-05
2,0.00313353
3,4.137e-05
4,5.13e-06
5,1.19e-06
6,3.24e-06
7,2.6e-06
8,9.2e-07
9,1.7e-07
1,0.00014014
2,0.00419902
3,0.00039725
4,1.955e-05
5,4.51e-06
6,1.64e-06
7,3.31e-06
8,2.09e-06
9,6.4e-07
10,2.5e-07
11,5.2e-07
12,3.3e-07
13,2.2e-07
14,1e-07
15,1.5e-07
16,1e-07
17,5e-08
18,1.4e-07
19,2e-08
20,4e-08
21,6.5e-09
22,6.8e-09
23,2e-08
24,4.4e-09
25,3.5e-09
26,2.6e-09
27,3.3e-09
28,6e-09
29,1.8e-09
1,2.992e-05
2,0.00080125
3,7.099e-05
4,9.85e-06
5,3.23e-06
6,8.6e-06
7,1.034e-05
8,4.4e-07
9,3.5e-07
10,1.8e-07
11,7.5e-07
12,4.7e-07
13,7.2e-07
14,2.6e-07
15,1.7e-07
16,1e-07
17,1.4e-07
18,1.6e-07
19,4e-08
20,4e-08
21,3e-08
22,7e-08
23,2e-08
24,2e-08
25,7.7e-09
26,2.5e-09
27,2e-09
28,4.2e-09
29,2.9e-09
30,2e-09
31,1.1e-09
1,7.45e-06
2,0.00030572
3,7.74e-06
4,8.2e-07
5,2.06e-06
6,2.99e-06
7,1.3e-06
8,1.7e-07
9,7e-08
10,2.6e-07
11,1.4e-07
12,6e-08
13,2.8e-07
14,1e-08
15,1e-08
16,2e-08
17,2e-08
18,4e-08
19,6.7e-09
20,2.4e-09
21,8e-09
22,2.8e-09
23,1.1e-09
1,9.61e-06
2,0.00048215
3,4.44e-06
4,1.91e-06
5,1.18e-06
6,3.66e-06
7,1.72e-06
8,1.2e-07
9,1e-07
10,3.2e-07
11,1.9e-07
12,7e-08
13,1.3e-07
14,3e-08
15,7e-08
16,2e-08
17,5e-08
18,1e-08
19,5.4e-09
20,1e-08
21,1e-08
22,4.1e-09
23,1.4e-09
1,1.801e-05
2,0.00091616
3,1.309e-05
4,1.44e-06
5,1.41e-06
6,4.49e-06
7,9.7e-07
8,1.4e-07
9,1.2e-07
10,1.8e-07
11,2.9e-07
12,1.2e-07
13,1.7e-07
14,1e-08
15,2e-08
16,3e-08
17,4e-08
18,2e-08
19,1e-08
20,3e-09
21,7.5e-09
22,2.7e-09
23,3.3e-09
24,1.5e-09
1,1.07e-05
2,0.00020223
3,2.023e-05
4,5.05e-06
5,1.83e-06
6,1.59e-06
7,9.5e-07
8,3.5e-07
9,1.4e-07
10,6e-08
11,6.6e-07
12,1.1e-07
13,1.1e-07
14,5e-08
15,7e-08
16,6.5e-09
17,3e-08
18,2e-08
19,5.8e-09
20,2.2e-09
21,1e-08
22,2.4e-09
23,3.7e-09
24,1.9e-09
1,1.431e-05
2,0.00076459
3,7.42e-06
4,9e-07
5,3.3e-07
6,2.04e-06
7,3.3e-07
8,6e-08
9,3e-08
10,2e-08
11,1.1e-07
12,2e-08
13,5e-08
14,1e-08
15,4e-08
16,3.5e-09
17,3e-08
18,5e-09
19,1.4e-09
1,4.45e-06
2,0.00018737
3,4.92e-06
4,4.2e-07
5,5.2e-07
6,1.24e-06
7,1.19e-06
8,1.2e-07
9,3e-08
10,3e-08
11,8e-08
12,2e-08
13,8e-08
14,7.6e-09
15,8.8e-09
16,4.4e-09
17,5.5e-09
18,2e-08
19,1.6e-09
1,3.6e-06
2,0.00014882
3,5.09e-06
4,4.7e-07
5,1.9e-07
6,3.1e-07
7,9.3e-07
8,6e-08
9,1e-08
10,3e-08
11,5e-08
12,5.5e-09
13,7.4e-09
14,1e-08
15,6e-09
16,3.9e-09
17,2.4e-09
18,6.2e-09
19,7.1e-10
1,2.81e-06
2,0.00014718
3,1.05e-06
4,3.5e-07
5,1.6e-07
6,3.5e-07
7,4.3e-07
8,3e-08
9,1e-08
10,1e-08
11,5e-08
12,2e-08
13,3e-08
14,4e-09
15,1e-08
16,3.7e-09
17,1.4e-09
1,3.38e-06
2,6.021e-05
3,1.582e-05
4,2.5e-07
5,2.4e-07
6,1.05e-06
7,2.7e-07
8,1e-07
9,2e-08
10,2e-08
11,4e-08
12,4e-08
13,2e-08
14,2e-08
15,3.6e-09
16,7.8e-09
17,6.4e-09
18,4.3e-09
19,2.5e-09
20,6e-10
1,1.14e-06
2,2.271e-05
3,4.63e-06
4,1.5e-07
5,1.1e-07
6,1.1e-07
7,3.1e-07
8,6e-08
9,6.6e-09
10,9.9e-09
11,3e-08
12,3.7e-09
13,6.2e-09
14,4.1e-09
15,2e-09
16,3e-09
17,1.2e-09
1,6.38e-06
2,0.00039662
3,8.6e-07
4,1.8e-07
5,7e-08
6,9e-08
7,6e-08
8,5e-08
9,3e-08
10,7.3e-09
11,4e-08
12,5e-08
13,8.4e-09
14,2e-08
15,6.2e-09
16,2.6e-09
17,4.6e-09
18,2.6e-09
19,6.6e-10
1,1.14e-06
2,2.357e-05
3,3.51e-06
4,3e-07
5,1.6e-07
6,1.1e-07
7,3.6e-07
8,4e-08
9,7.6e-09
10,8.4e-09
11,2e-08
12,6.8e-09
13,3.3e-09
14,6.9e-09
15,4e-09
16,2.1e-09
17,1.5e-09
1,9.41e-06
2,0.00045174
3,1.105e-05
4,2.3e-07
5,5e-08
6,7e-08
7,5e-08
8,4e-08
9,4e-08
10,6e-08
11,6.4e-09
12,5e-08
13,5.2e-09
14,4.3e-09
15,2.2e-09
16,9.3e-10
1,2.25e-06
2,0.00010013
3,2.88e-06
4,1.9e-07
5,6e-08
6,2.5e-07
7,1.6e-07
8,2e-08
9,8.7e-09
10,4.9e-09
11,1e-08
12,8e-09
13,2e-08
14,9.3e-09
15,3.9e-09
16,6.5e-10
1,1.53e-06
2,6.393e-05
3,2.53e-06
4,1.4e-07
5,3e-08
6,3e-08
7,4e-08
8,2e-08
9,5.5e-09
10,3.9e-09
11,3e-09
12,1.2e-09
1,1.32e-06
2,5.896e-05
3,1.46e-06
4,2.9e-07
5,2e-08
6,2e-08
7,5e-08
8,2e-08
9,3.8e-09
10,4.2e-09
11,5.9e-09
12,2.7e-09
13,1.2e-09
1,4.65e-06
2,0.00029751
3,4.2e-07
4,2e-08
5,9.1e-09
6,6.3e-09
7,6.3e-09
8,6e-09
9,2e-08
10,1e-08
11,4.3e-09
12,8.2e-09
13,2.2e-09
14,4.8e-10
