step,total_force_ry_bohr
1,0.55111
2,0.258117
3,0.203511
4,0.176507
5,0.166181
6,0.142315
7,0.090575
8,0.061771
9,0.054566
10,0.045957
11,0.038735
12,0.038472
13,0.046636
14,0.057046
15,0.070861
16,0.088904
17,0.112177
18,0.110012
19,0.102032
20,0.09937
21,0.101534
22,0.101895
23,0.088905
24,0.066828
25,0.057237
26,0.048902
27,0.035488
28,0.031442
29,0.03467
30,0.038994
31,0.038752
32,0.034908
33,0.0333
34,0.034249
35,0.035217
36,0.034909
37,0.033615
38,0.035191
39,0.040577
40,0.047492
41,0.055732
42,0.063881
43,0.070292
44,0.066919
45,0.062748
46,0.066756
47,0.064708
48,0.063721
49,0.058238
50,0.051529
