step,total_magnetization_bohr_cell
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
21,42.01
22,42.01
23,42.01
24,42.01
25,42.01
26,42.01
27,42.01
28,42.01
29,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
21,42.01
22,42.01
23,42.01
24,42.01
25,42.01
26,42.01
27,42.01
28,42.01
29,42.01
30,42.01
31,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
21,42.01
22,42.01
23,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
21,42.01
22,42.01
23,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
21,42.01
22,42.01
23,42.01
24,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
21,42.01
22,42.01
23,42.01
24,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
20,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
18,42.01
19,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
17,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
15,42.01
16,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
1,42.01
2,42.01
3,42.01
4,42.01
5,42.01
6,42.01
7,42.01
8,42.01
9,42.01
10,42.01
11,42.01
12,42.01
13,42.01
14,42.01
