step,conv_thr_ry
72,2e-07
35,2.94e-08
41,2.29e-08
44,2.33e-08
41,1.45e-08
39,1.43e-08
39,1.06e-08
41,9.7e-09
45,8.3e-09
42,8e-09
43,8.3e-09
41,1.02e-08
42,1.22e-08
41,7.7e-09
43,1.29e-08
41,1.11e-08
49,1.84e-08
38,1e-08
46,1.51e-08
40,1.18e-08
42,2.5e-08
37,2.06e-08
47,8.4e-09
43,1.86e-08
40,1.2e-08
38,1.33e-08
37,9.8e-09
36,8.4e-09
39,6.9e-09
38,8.4e-09
41,7.7e-09
42,1.05e-08
44,1.03e-08
47,1.2e-08
41,1.26e-08
41,1.4e-08
45,1.27e-08
41,9.9e-09
37,1.37e-08
37,9.4e-09
47,9.1e-09
40,1.02e-08
42,1e-08
40,7.3e-09
40,7.5e-09
40,6.2e-09
33,5.4e-09
37,3.8e-09
41,3.4e-09
37,3.3e-09
48,2.8e-09
39,2.4e-09
39,2.4e-09
36,2.3e-09
42,2.2e-09
40,2.4e-09
42,2.3e-09
36,2e-09
