step,energy_ry
4,-10339.9779258
18,-10339.97796063
28,-10339.97799146
31,-10339.97802626
32,-10339.97806031
33,-10339.97809016
32,-10339.97811654
33,-10339.97815654
32,-10339.9781985
39,-10339.97824041
37,-10339.97827718
37,-10339.97831993
41,-10339.97838429
37,-10339.97844988
38,-10339.97850706
41,-10339.97858768
39,-10339.97869201
43,-10339.97881898
43,-10339.97893655
43,-10339.97904843
47,-10339.97918373
42,-10339.97933209
42,-10339.97952569
42,-10339.97971904
51,-10339.9798795
40,-10339.980168
40,-10339.98034727
40,-10339.9805805
40,-10339.9808519
51,-10339.98119822
41,-10339.98148358
42,-10339.98175354
46,-10339.9824097
47,-10339.98206611
47,-10339.98270343
48,-10339.98308766
49,-10339.98364233
39,-10339.9840452
38,-10339.98421991
44,-10339.98450907
41,-10339.98483966
36,-10339.98512598
42,-10339.9853961
38,-10339.98558188
40,-10339.98577098
39,-10339.98599884
38,-10339.98620684
40,-10339.98634693
40,-10339.98646539
35,-10339.98659262
38,-10339.98672149
39,-10339.98684694
40,-10339.98696227
40,-10339.9870764
40,-10339.98716543
39,-10339.98724489
40,-10339.98731102
39,-10339.98738075
42,-10339.98744179
39,-10339.98750238
49,-10339.98756286
40,-10339.98762725
41,-10339.98770061
42,-10339.98778517
46,-10339.98788836
41,-10339.98800505
45,-10339.98813765
47,-10339.98825307
43,-10339.98838014
38,-10339.98853067
43,-10339.98868919
42,-10339.98882353
41,-10339.98893126
47,-10339.98902102
42,-10339.98910634
40,-10339.98917157
42,-10339.98924634
41,-10339.98929286
38,-10339.98932731
44,-10339.98937776
41,-10339.98940442
41,-10339.9894312
41,-10339.98946201
42,-10339.98948471
33,-10339.98951107
37,-10339.98953824
39,-10339.98956595
43,-10339.98959158
38,-10339.98961699
34,-10339.98964414
33,-10339.98966942
34,-10339.98969786
39,-10339.98973405
41,-10339.98977186
42,-10339.98982133
47,-10339.98986132
41,-10339.98990884
43,-10339.98995362
40,-10339.99000335
42,-10339.99005044
41,-10339.99009607
39,-10339.99013691
35,-10339.99017573
37,-10339.9902036
35,-10339.99023463
39,-10339.99026087
81,-10339.99028824
38,-10339.99030955
40,-10339.99033075
38,-10339.99035446
37,-10339.99037795
41,-10339.99040539
39,-10339.99042552
37,-10339.99044498
38,-10339.99046
37,-10339.99047457
31,-10339.99048829
38,-10339.99050339
36,-10339.9905198
35,-10339.99053402
36,-10339.99055109
41,-10339.99056408
37,-10339.99058071
38,-10339.99059542
42,-10339.99061023
39,-10339.99062013
42,-10339.99063032
41,-10339.99064239
40,-10339.9906557
38,-10339.99067011
33,-10339.99068114
33,-10339.9906902
33,-10339.9906972
32,-10339.99070371
33,-10339.99070929
36,-10339.99071502
35,-10339.99072074
33,-10339.99072701
30,-10339.99073181
31,-10339.99073676
32,-10339.9907406
30,-10339.990745
31,-10339.99074832
28,-10339.99075142
29,-10339.99075395
31,-10339.99075671
33,-10339.9907592
26,-10339.99076131
30,-10339.99076356
27,-10339.99076603
33,-10339.99076841
29,-10339.99077028
32,-10339.99077322
32,-10339.99077539
34,-10339.99077791
37,-10339.99078131
28,-10339.99078338
30,-10339.99078498
30,-10339.99078811
