step,scf_accuracy_ry
1,72.44766667
2,58.99870424
3,43.09533134
4,112.46668925
5,30.16991055
6,24.23940898
7,16.13515763
8,11.47062068
9,15.46290343
10,8.39582976
11,8.20775173
12,5.56938367
13,3.11136681
14,7.88111521
15,1.71002672
16,1.62697583
17,0.37325583
18,0.28825387
19,0.22549535
20,0.17211871
21,0.10920593
22,0.09386661
23,0.0560817
24,0.0477587
25,0.0402257
26,0.05564885
27,0.01343721
28,0.0111257
29,0.00929859
30,0.00900979
31,0.0052493
32,0.00451273
33,0.00397088
34,0.00295235
35,0.00254892
36,0.00504158
37,0.00154485
38,0.00148341
39,0.00112787
40,0.00091048
41,0.00082421
42,0.00039011
43,0.0003847
44,0.00031053
45,0.00030394
46,0.00031831
47,0.0001761
48,0.00015232
49,0.00013041
50,0.00010342
51,9.158e-05
52,7.247e-05
53,6.315e-05
54,5.047e-05
55,4.457e-05
56,5.873e-05
57,3.392e-05
58,3.233e-05
59,3.218e-05
60,2.348e-05
61,2.78e-05
62,1.684e-05
63,1.162e-05
64,8.96e-06
65,8.74e-06
66,9.54e-06
67,1.204e-05
68,6.24e-06
69,5.05e-06
70,4.01e-06
71,3.63e-06
72,2.65e-06
73,2.15e-06
74,1.59e-06
75,1.48e-06
76,1.59e-06
77,2.68e-06
78,1.21e-06
79,7.9e-07
80,6.1e-07
81,5.6e-07
82,4.8e-07
83,4.3e-07
84,3.6e-07
85,3.2e-07
86,3.5e-07
87,3.1e-07
88,2.3e-07
89,2.3e-07
90,2.2e-07
91,1.6e-07
1,0.04907801
2,0.10597952
3,0.11670481
4,0.0379745
5,0.01554222
6,0.01311751
7,0.00952422
8,0.00882625
9,0.00311579
10,0.00230324
11,0.00206323
12,0.00175941
13,0.00186784
14,0.00496909
15,0.00132025
16,0.00062649
17,0.00040817
18,0.00043144
19,0.00038426
20,0.00021596
21,0.00015295
22,0.00012512
23,0.00011569
24,0.00011346
25,0.00028441
26,0.00010052
27,7.94e-05
28,5.444e-05
29,3.287e-05
30,2.723e-05
31,2.485e-05
32,2.46e-05
33,1.687e-05
34,1.484e-05
35,2.36e-05
36,1.422e-05
37,1.26e-05
38,1.099e-05
39,8.39e-06
40,7.16e-06
41,7.24e-06
42,6.61e-06
43,5.74e-06
44,5.35e-06
45,6.2e-06
46,6.68e-06
47,4.81e-06
48,3.65e-06
49,3.18e-06
50,2.76e-06
51,2.54e-06
52,2.7e-06
53,2.22e-06
54,1.96e-06
55,2.23e-06
