step,total_force_ry_bohr
4,0.00656
18,0.005295
28,0.004225
31,0.003638
32,0.004052
33,0.006365
32,0.005499
33,0.005278
32,0.004561
39,0.004649
37,0.005611
37,0.006057
41,0.005845
37,0.005894
38,0.006608
41,0.007929
39,0.008696
43,0.008466
43,0.00843
43,0.008915
47,0.009999
42,0.009834
42,0.011162
42,0.012818
51,0.021246
40,0.012447
40,0.010844
40,0.010385
40,0.013657
51,0.019465
41,0.018015
42,0.018663
46,0.019306
47,0.053801
47,0.020068
48,0.020741
49,0.018522
39,0.018206
38,0.013865
44,0.013328
41,0.013892
36,0.012783
42,0.011516
38,0.011483
40,0.010741
39,0.011234
38,0.009643
40,0.008962
40,0.008238
35,0.008099
38,0.008545
39,0.008554
40,0.008339
40,0.007604
40,0.007559
39,0.006388
40,0.006097
39,0.005957
42,0.005946
39,0.007035
49,0.006337
40,0.006941
41,0.007053
42,0.007589
46,0.008135
41,0.008863
45,0.008537
47,0.012315
43,0.010559
38,0.009636
43,0.008388
42,0.008373
41,0.008103
47,0.009482
42,0.007878
40,0.006191
42,0.005773
41,0.005973
38,0.005123
44,0.004701
41,0.004329
41,0.004056
41,0.00371
42,0.003646
33,0.004212
37,0.004514
39,0.004975
43,0.004112
38,0.004004
34,0.004072
33,0.00463
34,0.005196
39,0.005385
41,0.00529
42,0.005235
47,0.005318
41,0.005057
43,0.004909
40,0.005306
42,0.00536
41,0.005411
39,0.005395
35,0.004233
37,0.003992
35,0.003942
39,0.003666
81,0.00338
38,0.003338
40,0.003509
38,0.003649
37,0.003659
41,0.003649
39,0.003397
37,0.003346
38,0.002976
37,0.002829
31,0.002898
38,0.002819
36,0.003058
35,0.003053
36,0.002896
41,0.002884
37,0.003038
38,0.002925
42,0.002588
39,0.002691
42,0.00268
41,0.002964
40,0.003034
38,0.002914
33,0.002566
33,0.002067
33,0.002053
32,0.001914
33,0.001904
36,0.001821
35,0.001745
33,0.001971
30,0.00177
31,0.001702
32,0.001508
30,0.001441
31,0.001462
28,0.001338
29,0.001275
31,0.001167
33,0.001195
26,0.001111
30,0.001063
27,0.001137
33,0.001184
29,0.001147
32,0.001147
32,0.001165
34,0.001152
37,0.001163
28,0.001154
30,0.001153
30,0.001242
33,0.0014
36,0.001553
41,0.001597
41,0.00158
35,0.001515
39,0.001472
34,0.001235
32,0.001297
28,0.001178
30,0.001213
28,0.001277
30,0.001451
