atom,element,valence_electron,bader_charge,delta_q
1,Ni,10,9.99868,0.0013199999999997658
2,Ni,10,10.04257,-0.04256999999999955
3,Ni,10,10.043435,-0.043435000000000556
4,Ni,10,10.044468,-0.044468000000000174
5,Ni,10,10.017278,-0.01727799999999924
6,Ni,10,10.012542,-0.012541999999999831
7,Ni,10,10.019809,-0.01980900000000041
8,Ni,10,10.015855,-0.015855000000000175
9,Ni,10,10.038715,-0.03871499999999983
10,Ni,10,10.03752,-0.037520000000000664
11,Ni,10,10.043579,-0.04357899999999937
12,Ni,10,10.025843,-0.02584300000000006
13,Ni,10,10.01605,-0.016049999999999898
14,Ni,10,10.050191,-0.050190999999999875
15,Ni,10,10.040132,-0.040131999999999834
16,Ni,10,10.044658,-0.044658000000000087
17,Ni,10,10.038307,-0.03830699999999965
18,Ni,10,10.023946,-0.023946000000000467
19,Ni,10,10.000639,-0.0006389999999996121
20,Ni,10,10.016474,-0.016474000000000544
21,Ni,10,10.04583,-0.04583000000000048
22,Ni,10,10.039329,-0.03932900000000039
23,Ni,10,10.039581,-0.03958100000000009
24,Ni,10,10.036179,-0.03617900000000063
25,Ni,10,10.024397,-0.024397000000000446
26,Ni,10,9.9611,0.038899999999999935
27,Ni,10,9.99354,0.006460000000000576
28,Ni,10,9.980771,0.019228999999999274
29,Ni,10,9.987861,0.012138999999999456
30,Ni,10,9.94079,0.05921000000000021
31,Ni,10,9.969183,0.03081700000000076
32,Ni,10,9.955411,0.04458900000000021
33,Ni,10,9.97191,0.028090000000000614
34,Ni,10,9.980547,0.019453000000000387
35,Ni,10,9.980132,0.019868000000000663
36,Ni,10,9.980913,0.019087000000000742
37,Ni,10,9.944123,0.05587700000000062
38,Ni,10,9.972384,0.027616000000000085
39,Ni,10,9.979585,0.02041499999999985
40,Ni,10,9.982055,0.01794499999999921
41,Ni,10,9.982987,0.01701300000000039
42,Ni,10,9.984332,0.015667999999999793
43,Ni,10,9.952499,0.04750100000000046
44,Ni,10,9.932575,0.06742500000000007
45,Ni,10,9.988547,0.011452999999999491
46,Ni,10,9.965365,0.03463499999999975
47,Ni,10,9.98089,0.019109999999999516
48,Ni,10,9.97578,0.024219999999999686
49,Ni,10,9.964617,0.0353829999999995
50,Ni,10,9.971153,0.028847000000000733
51,Ni,10,9.977442,0.022558000000000078
52,Ni,10,9.972823,0.027177000000000007
53,Ni,10,9.989121,0.010878999999999195
54,Ni,10,9.976888,0.023111999999999355
55,Ni,10,9.949174,0.050826000000000704
56,Ni,10,9.949133,0.05086700000000022
57,Ni,10,9.95654,0.04345999999999961
58,Ni,10,9.999506,0.0004939999999997724
59,Ni,10,9.981109,0.01889099999999999
60,Ni,10,9.993137,0.006862999999999175
61,Ni,10,9.982795,0.01720500000000058
62,Ni,10,9.975324,0.024675999999999476
63,Ni,10,9.967522,0.03247799999999934
64,Ni,10,9.964927,0.035073000000000576
65,Ni,10,9.973627,0.026372999999999536
66,Ni,10,9.976053,0.02394699999999972
67,Ni,10,9.980748,0.019251999999999825
68,Ni,10,9.940904,0.05909600000000026
69,Ni,10,9.964697,0.03530300000000075
70,Ni,10,9.992194,0.007806000000000424
71,Ni,10,9.976575,0.023424999999999585
72,Ni,10,9.990559,0.009441000000000699
73,Ni,10,9.97569,0.024309999999999832
74,Ni,10,9.969723,0.030276999999999887
75,Ni,10,9.936442,0.06355800000000045
76,Ni,10,10.000439,-0.0004390000000000782
77,Ni,10,10.052659,-0.05265900000000023
78,Ni,10,10.036538,-0.03653800000000018
79,Ni,10,10.050183,-0.05018300000000053
80,Ni,10,10.022623,-0.022622999999999394
81,Ni,10,10.021465,-0.02146499999999918
82,Ni,10,10.016411,-0.01641099999999973
83,Ni,10,10.033313,-0.033312999999999704
84,Ni,10,10.030108,-0.030108000000000246
85,Ni,10,10.044809,-0.044809000000000765
86,Ni,10,10.038233,-0.03823299999999996
87,Ni,10,10.008091,-0.008091000000000292
88,Ni,10,9.811766,0.18823399999999957
89,Ni,10,10.045641,-0.04564099999999982
90,Ni,10,10.043286,-0.04328600000000016
91,Ni,10,10.047941,-0.04794099999999979
92,Ni,10,10.046147,-0.046146999999999494
93,Ni,10,10.032424,-0.032424000000000675
94,Ni,10,10.012787,-0.012786999999999438
95,Ni,10,10.046584,-0.04658399999999929
96,Ni,10,10.055814,-0.05581399999999981
97,Ni,10,10.051667,-0.05166700000000013
98,Ni,10,10.045715,-0.045714999999999506
99,Ni,10,10.013513,-0.013512999999999664
100,Ni,10,10.036052,-0.03605199999999975
101,C,4,2.543502,1.4564979999999998
102,C,4,3.181748,0.8182520000000002
103,C,4,3.244407,0.7555930000000002
104,C,4,3.199368,0.8006319999999998
105,C,4,3.295138,0.7048619999999999
106,C,4,3.383229,0.616771
107,O,6,7.698329,-1.6983290000000002
108,O,6,7.429172,-1.4291720000000003
109,O,6,7.782709,-1.7827089999999997
110,O,6,7.459219,-1.459219
111,O,6,7.708427,-1.7084270000000004
112,O,6,7.713185,-1.7131850000000002
113,H,1,0.896979,0.10302100000000003
114,H,1,0.915062,0.08493799999999996
115,H,1,0.942618,0.057382000000000044
116,H,1,0.9774,0.022599999999999953
117,H,1,0.999827,0.00017299999999997873
118,H,1,0.962187,0.037812999999999986
119,H,1,0.958551,0.04144899999999996
120,H,1,0.391747,0.6082529999999999
121,H,1,0.000518,0.999482
122,H,1,0.321563,0.678437
123,H,1,0.000376,0.999624
124,H,1,0.00045,0.99955
