atom,element,valence_electron,bader_charge,delta_q
1,Ni,10,9.996522,0.003477999999999426
2,Ni,10,10.03048,-0.03048000000000073
3,Ni,10,10.040935,-0.04093499999999928
4,Ni,10,10.043158,-0.04315800000000003
5,Ni,10,10.037198,-0.037198000000000064
6,Ni,10,10.030114,-0.030113999999999308
7,Ni,10,10.018301,-0.018300999999999235
8,Ni,10,10.040444,-0.04044400000000081
9,Ni,10,10.041129,-0.04112899999999975
10,Ni,10,10.040013,-0.040013000000000076
11,Ni,10,10.043584,-0.04358399999999918
12,Ni,10,10.000138,-0.00013799999999974943
13,Ni,10,10.01032,-0.010320000000000107
14,Ni,10,10.021804,-0.02180399999999949
15,Ni,10,10.03576,-0.03575999999999979
16,Ni,10,10.041119,-0.04111900000000013
17,Ni,10,10.037761,-0.03776099999999971
18,Ni,10,10.050436,-0.05043599999999948
19,Ni,10,10.003027,-0.003026999999999447
20,Ni,10,10.013571,-0.013571000000000666
21,Ni,10,10.013217,-0.013216999999999146
22,Ni,10,10.034879,-0.034879000000000104
23,Ni,10,10.039713,-0.039713000000000775
24,Ni,10,10.028046,-0.028045999999999793
25,Ni,10,10.022896,-0.02289599999999936
26,Ni,10,9.965433,0.034566999999999126
27,Ni,10,9.969228,0.030772000000000688
28,Ni,10,9.974917,0.02508300000000041
29,Ni,10,9.980392,0.019607999999999848
30,Ni,10,9.963044,0.03695599999999999
31,Ni,10,9.993133,0.006866999999999734
32,Ni,10,9.944674,0.055326000000000874
33,Ni,10,9.953387,0.04661300000000068
34,Ni,10,9.991456,0.008544000000000551
35,Ni,10,9.98034,0.01966000000000001
36,Ni,10,9.9787,0.021300000000000097
37,Ni,10,9.977572,0.02242799999999967
38,Ni,10,9.96641,0.03359000000000023
39,Ni,10,9.946433,0.053566999999999254
40,Ni,10,9.97771,0.02228999999999992
41,Ni,10,9.984931,0.015069000000000443
42,Ni,10,9.9824,0.017599999999999838
43,Ni,10,9.980887,0.019113000000000824
44,Ni,10,9.940441,0.05955900000000014
45,Ni,10,9.966382,0.03361800000000059
46,Ni,10,9.939922,0.06007800000000074
47,Ni,10,9.980647,0.01935300000000062
48,Ni,10,9.984485,0.015515000000000612
49,Ni,10,9.991644,0.008355999999999142
50,Ni,10,9.969164,0.03083600000000075
51,Ni,10,9.970147,0.02985299999999924
52,Ni,10,9.95101,0.04898999999999987
53,Ni,10,9.98607,0.01393000000000022
54,Ni,10,9.992767,0.007232999999999379
55,Ni,10,9.977037,0.022963000000000733
56,Ni,10,9.974514,0.025486000000000786
57,Ni,10,9.959144,0.04085599999999978
58,Ni,10,9.971541,0.02845899999999979
59,Ni,10,9.994047,0.005952999999999875
60,Ni,10,9.979556,0.020443999999999463
61,Ni,10,9.983173,0.01682699999999926
62,Ni,10,9.993533,0.006467000000000667
63,Ni,10,9.96891,0.031090000000000728
64,Ni,10,9.936167,0.0638330000000007
65,Ni,10,9.983463,0.01653699999999958
66,Ni,10,9.967011,0.0329890000000006
67,Ni,10,9.976097,0.023903000000000674
68,Ni,10,9.975372,0.024627999999999872
69,Ni,10,9.962284,0.03771599999999964
70,Ni,10,9.969286,0.030713999999999686
71,Ni,10,9.958932,0.041067999999999216
72,Ni,10,9.994231,0.005769000000000801
73,Ni,10,9.973716,0.026284000000000418
74,Ni,10,9.984584,0.015416000000000096
75,Ni,10,9.938882,0.06111800000000045
76,Ni,10,10.041373,-0.041373000000000104
77,Ni,10,10.023367,-0.02336700000000036
78,Ni,10,10.011165,-0.011165000000000092
79,Ni,10,10.029996,-0.029996000000000578
80,Ni,10,10.036852,-0.03685199999999966
81,Ni,10,10.046804,-0.046803999999999846
82,Ni,10,10.038833,-0.03883300000000034
83,Ni,10,10.022237,-0.022237000000000506
84,Ni,10,9.791938,0.20806199999999997
85,Ni,10,10.025852,-0.02585200000000043
86,Ni,10,10.038146,-0.03814599999999935
87,Ni,10,10.032367,-0.0323670000000007
88,Ni,10,9.804146,0.19585400000000064
89,Ni,10,9.823641,0.1763589999999997
90,Ni,10,10.017643,-0.01764299999999963
91,Ni,10,10.024729,-0.024729000000000667
92,Ni,10,10.037786,-0.03778600000000054
93,Ni,10,10.024289,-0.02428899999999956
94,Ni,10,10.044081,-0.04408100000000026
95,Ni,10,10.010107,-0.010106999999999644
96,Ni,10,10.006688,-0.006688000000000471
97,Ni,10,10.012004,-0.012003999999999238
98,Ni,10,10.047363,-0.04736300000000071
99,Ni,10,10.039274,-0.0392740000000007
100,Ni,10,10.05476,-0.05475999999999992
101,O,6,7.307328,-1.307328
102,H,1,0.28527,0.71473
