step,conv_thr_ry
113,2e-07
31,1.011e-07
36,8.33e-08
42,3.93e-08
49,3.55e-08
40,1.76e-08
46,1.84e-08
42,1.41e-08
51,1.2e-08
51,1.29e-08
41,1e-08
47,1.36e-08
47,2.04e-08
48,2.64e-08
56,2.35e-08
38,3.58e-08
37,2.83e-08
37,3.98e-08
49,5.18e-08
48,4.17e-08
51,2.35e-08
62,3.02e-08
51,3.02e-08
53,1.57e-08
43,1.36e-08
51,1.15e-08
47,9.9e-09
42,9.4e-09
42,8.1e-09
39,6.6e-09
41,5.8e-09
42,5.2e-09
40,4.9e-09
39,4.4e-09
43,4.3e-09
42,5.2e-09
47,6.1e-09
43,6.1e-09
47,6.5e-09
47,6.8e-09
43,7e-09
51,1.01e-08
51,1.58e-08
57,2.41e-08
51,1.27e-08
53,3.17e-08
38,3.57e-08
36,3.23e-08
42,3.53e-08
46,3.3e-08
52,3.38e-08
39,2.44e-08
