step,energy_ry
113,-10090.43278064
31,-10090.43938878
36,-10090.44529623
42,-10090.45179508
49,-10090.4535677
40,-10090.45444789
46,-10090.45536613
42,-10090.45606882
51,-10090.45682523
51,-10090.45746899
41,-10090.45796785
47,-10090.45864795
47,-10090.45966862
48,-10090.46098839
56,-10090.46216388
38,-10090.46395192
37,-10090.46536856
37,-10090.46735933
49,-10090.4699495
48,-10090.47376983
51,-10090.47861733
62,-10090.48174706
51,-10090.48098706
53,-10090.48253159
43,-10090.48479751
51,-10090.48656519
47,-10090.48711113
42,-10090.4875836
42,-10090.48798746
39,-10090.48831802
41,-10090.48860955
42,-10090.48887168
40,-10090.48911626
39,-10090.48933388
43,-10090.48954957
42,-10090.48981088
47,-10090.49013521
43,-10090.49043971
47,-10090.49076642
47,-10090.49110632
43,-10090.49145603
51,-10090.49196283
51,-10090.4927539
57,-10090.49396048
51,-10090.49459341
53,-10090.49617919
38,-10090.4981705
36,-10090.49978746
42,-10090.50245751
46,-10090.5068972
52,-10090.51227019
39,-10090.5134916
49,-10090.5165329
46,-10090.51871444
39,-10090.52033565
39,-10090.52215901
40,-10090.52365202
