step,gradient_error_ry_bohr
113,0.062
31,0.056
36,0.046
42,0.022
49,0.023
40,0.016
46,0.013
42,0.0098
51,0.0066
51,0.0094
41,0.012
47,0.014
47,0.02
48,0.037
56,0.064
38,0.054
37,0.049
37,0.04
49,0.033
48,0.023
51,0.013
62,0.017
51,0.032
53,0.012
43,0.0075
51,0.0063
47,0.0054
42,0.0075
42,0.01
39,0.01
41,0.0073
42,0.0039
40,0.0061
39,0.007
43,0.0066
42,0.0053
47,0.0033
43,0.0034
47,0.0053
47,0.0064
43,0.0074
51,0.0093
51,0.013
57,0.021
51,0.035
53,0.023
38,0.02
36,0.02
42,0.019
46,0.018
52,0.019
39,0.021
49,0.02
46,0.012
39,0.013
39,0.01
40,0.0082
42,0.0048
37,0.0055
41,0.0057
41,0.0073
38,0.0044
41,0.0034
45,0.0076
42,0.0096
46,0.0085
48,0.012
39,0.01
38,0.0076
