step,scf_accuracy_ry
1,41.97652946
2,52.40625231
3,29.56134037
4,54.47379294
5,23.1979714
6,23.63258496
7,9.01446811
8,7.48791184
9,5.00554682
10,4.46998885
11,1.19641897
12,0.51863446
13,0.38154238
14,1.02516978
15,0.40855435
16,0.34434278
17,0.27070096
18,0.07118371
19,0.06258033
20,0.03376102
21,0.0227394
22,0.01866271
23,0.02429611
24,0.11997562
25,0.01581076
26,0.0125897
27,0.00763134
28,0.00556821
29,0.00608482
30,0.00646661
31,0.00384276
32,0.00244326
33,0.00186523
34,0.00564055
35,0.00153696
36,0.00161998
37,0.00148
38,0.0007784
39,0.00090195
40,0.00089745
41,0.00058333
42,0.00039351
43,0.00037166
44,0.00118947
45,0.00045094
46,0.00024091
47,0.00021597
48,0.0001284
49,0.00013935
50,0.00014157
51,0.00011605
52,9.191e-05
53,0.00010181
