step,total_force_ry_bohr
113,0.090512
31,0.079157
36,0.069692
42,0.038606
49,0.038324
40,0.022058
46,0.017449
42,0.015638
51,0.015097
51,0.020628
41,0.025033
47,0.031386
47,0.043145
48,0.064109
56,0.097657
38,0.083501
37,0.077656
37,0.07065
49,0.064836
48,0.056087
51,0.044091
62,0.047666
51,0.073827
53,0.034386
43,0.025281
51,0.020433
47,0.016509
42,0.014708
42,0.015367
39,0.014541
41,0.011989
42,0.010154
40,0.010788
39,0.012187
43,0.012448
42,0.011887
47,0.011575
43,0.012193
47,0.013076
47,0.013508
43,0.014442
51,0.017716
51,0.025246
57,0.039836
51,0.067563
53,0.054507
38,0.052323
36,0.052417
42,0.050542
46,0.043417
52,0.037731
39,0.037791
49,0.041061
46,0.033781
39,0.037914
39,0.030072
40,0.023573
42,0.021455
37,0.020532
41,0.018839
41,0.017939
38,0.013617
41,0.011416
45,0.013739
42,0.016689
46,0.021255
48,0.031748
