step,total_magnetization_bohr_cell
1,141.61
2,131.03
3,132.08
4,131.3
5,129.01
6,123.46
7,117.81
8,101.52
9,95.0
10,94.54
11,93.02
12,91.5
13,91.33
14,91.49
15,89.81
16,90.43
17,89.31
18,89.18
19,87.95
20,87.76
21,87.97
22,88.15
23,88.3
24,88.35
25,88.5
26,88.68
27,88.92
28,88.99
29,89.16
30,89.34
31,89.46
32,89.63
33,89.7
34,89.77
35,89.8
36,89.89
37,89.95
38,90.07
39,90.14
40,90.2
41,90.24
42,90.29
43,90.31
44,90.34
45,90.35
46,90.38
47,90.4
48,90.43
49,90.44
50,90.45
51,90.46
52,90.47
53,90.47
54,90.48
55,90.48
56,90.48
57,90.49
58,90.49
59,90.49
60,90.49
61,90.49
62,90.48
63,90.48
64,90.48
65,90.48
66,90.48
67,90.47
68,90.47
69,90.46
70,90.46
71,90.46
72,90.45
73,90.45
74,90.44
75,90.44
76,90.44
77,90.44
78,90.43
79,90.43
80,90.43
81,90.43
82,90.43
83,90.42
84,90.42
85,90.42
86,90.42
87,90.42
88,90.42
