step,scf_accuracy_ry
1,4.67e-06
2,0.0002086
3,5.723e-05
4,3.24e-06
5,7e-08
1,0.0003565
2,0.01544733
3,0.0109563
4,0.0001386
5,1.116e-05
6,4.7e-07
7,3.7e-07
8,1.17e-06
9,1.25e-06
10,1.3e-07
1,0.00059436
2,0.08420969
3,0.00550554
4,0.0003407
5,6.73e-06
6,1.88e-06
7,5.9e-07
8,4.3e-07
9,1.12e-06
10,3.9e-07
11,9e-08
12,4.7e-07
13,2.2e-07
14,2.4e-07
15,6e-08
16,5e-08
17,3e-08
18,2e-08
19,1e-08
20,2e-08
21,1e-08
22,1e-08
23,9e-08
24,7.8e-09
25,3.5e-09
26,2.2e-09
27,3.3e-09
28,2.5e-09
29,1.9e-09
1,1.663e-05
2,0.00188554
3,0.00026567
4,4.4e-06
5,4.6e-07
6,3.8e-07
7,3.6e-07
8,2.9e-07
9,6.2e-07
10,6e-08
11,3e-08
12,1.5e-07
13,2e-08
14,5e-08
15,6e-08
16,3e-08
17,8.4e-09
18,2e-08
19,1e-08
20,2e-08
21,5.1e-09
22,1e-08
23,6.8e-09
24,2.9e-09
25,3.2e-09
26,4e-09
27,5.7e-10
1,5.68e-06
2,0.00076761
3,5.844e-05
4,3.25e-06
5,1.7e-07
6,1.3e-07
7,1e-07
8,8e-08
9,4e-08
10,4e-08
11,2e-08
12,5e-08
13,1.3e-07
14,4e-08
15,2e-08
16,1e-08
17,8.6e-09
18,8.7e-09
19,5.4e-09
20,5.5e-09
21,3.7e-09
22,1.3e-09
1,4.476e-05
2,0.01112314
3,4.716e-05
4,6.59e-06
5,2.3e-07
6,1.8e-07
7,1.8e-07
8,1.8e-07
9,5e-07
10,1.9e-07
11,5e-08
12,8.9e-07
13,6e-08
14,2e-08
15,2e-08
16,3e-08
17,9.9e-09
18,6.5e-09
19,4.2e-09
20,8.8e-09
21,2.8e-09
22,8.6e-09
23,7.6e-09
24,8.4e-09
25,1.7e-09
1,2.225e-05
2,0.00132621
3,0.00048296
4,1.416e-05
5,5.4e-07
6,4.2e-07
7,2.9e-07
8,3.4e-07
9,3e-07
10,7e-08
11,5e-08
12,1.7e-07
13,4e-07
14,2.5e-07
15,4e-08
16,2e-08
17,5e-08
18,2e-08
19,4e-08
20,9.9e-09
21,9e-09
22,1e-08
23,8e-08
24,3e-09
25,9.2e-09
26,1.1e-09
