step,total_magnetization_bohr_cell
1,141.08
2,130.04
3,131.48
4,130.0
5,129.66
6,118.25
7,100.33
8,93.99
9,70.44
10,67.69
11,80.14
12,83.26
13,87.01
14,89.52
15,90.16
16,89.65
17,90.44
18,90.66
19,90.49
20,89.85
21,89.63
22,89.76
23,89.71
24,89.76
25,89.86
26,89.98
27,90.09
28,90.1
29,90.19
30,90.29
31,90.34
32,90.36
33,90.36
34,90.37
35,90.37
36,90.37
37,90.37
38,90.37
39,90.37
40,90.36
41,90.36
42,90.36
43,90.36
44,90.36
45,90.36
46,90.37
47,90.37
48,90.37
49,90.37
50,90.37
51,90.37
52,90.37
53,90.37
54,90.37
55,90.37
56,90.37
57,90.37
58,90.37
59,90.37
60,90.37
61,90.38
62,90.38
63,90.38
64,90.38
65,90.38
66,90.38
67,90.38
68,90.38
69,90.38
70,90.38
71,90.38
72,90.38
73,90.38
