step,scf_accuracy_ry
1,26.22400156
2,56.7668153
3,33.56888514
4,16.21403899
5,12.47895788
6,40.60536359
7,13.63569055
8,3.52398622
9,8.54996553
10,1.15044661
11,0.92967734
12,0.49264577
13,0.23501752
14,1.31951733
15,0.16349048
16,0.02228631
17,0.0209998
18,0.01478779
19,0.01343333
20,0.01529651
21,0.00968112
22,0.00508379
23,0.00559614
24,0.01398925
25,0.00133725
26,0.00354296
27,0.00047866
28,0.0007917
29,0.00028123
30,0.00014093
31,0.00011208
32,8.633e-05
33,9.134e-05
34,0.00014821
35,0.00022684
36,1.028e-05
37,9.52e-06
38,1e-05
39,1.456e-05
40,1.779e-05
41,1.196e-05
42,2.3e-06
43,3.38e-06
44,3.19e-06
45,2.84e-06
46,4.12e-06
47,7.1e-07
48,3e-07
49,6.8e-07
50,1.34e-06
51,2.2e-07
52,2e-07
53,1.9e-07
