step,scf_accuracy_ry
1,90.97060361
2,549.32270536
3,110.78690768
4,22.53208203
5,52.61657782
6,27.0387272
7,7.910782
8,5.24940631
9,3.33243759
10,5.62696384
11,12.55612656
12,3.79963923
13,0.5312378
14,0.83403495
15,0.07175671
16,0.12609663
17,0.03728479
18,0.01754487
19,0.02873564
20,0.01900642
21,0.01430338
22,0.02356242
23,0.0126743
24,0.00285031
25,0.00271982
26,0.00204329
27,0.00309672
28,0.00163644
29,0.00241042
30,0.00356216
31,0.00120289
32,0.00319537
33,0.00093652
34,0.0006186
35,0.0004631
36,0.00030667
37,0.00045713
38,0.00018003
39,0.00024065
40,0.00039084
41,0.00014982
42,0.00046863
43,0.00017853
44,0.00012532
45,7.194e-05
46,5.105e-05
47,7.088e-05
48,3.072e-05
49,4.128e-05
50,7.679e-05
51,3.243e-05
52,6.999e-05
53,3.011e-05
54,2.562e-05
55,1.739e-05
56,1.266e-05
57,1.72e-05
58,1.071e-05
59,1.126e-05
60,1.75e-05
61,9.9e-06
62,1.912e-05
63,1.356e-05
64,8.27e-06
65,7.4e-06
66,5.53e-06
67,8.07e-06
68,3.65e-06
69,3.68e-06
70,5.27e-06
71,3.33e-06
72,5.61e-06
73,4.8e-06
74,2.4e-06
75,2.33e-06
76,1.52e-06
77,1.89e-06
78,9.8e-07
79,1.06e-06
80,1.36e-06
81,9.2e-07
82,1.46e-06
83,1.49e-06
84,5.4e-07
85,5.4e-07
86,5e-07
87,6.7e-07
88,3.4e-07
89,3.8e-07
90,4.5e-07
91,3e-07
92,3.5e-07
93,3.9e-07
94,2.1e-07
95,2.2e-07
96,2.2e-07
97,3.1e-07
98,1.5e-07
