step,total_magnetization_bohr_cell
1,77.92
2,140.66
3,102.39
4,89.95
5,90.63
6,85.9
7,76.71
8,68.99
9,63.03
10,54.95
11,52.18
12,52.65
13,48.26
14,46.83
15,47.54
16,47.14
17,47.25
18,47.29
19,47.44
20,47.51
21,47.49
22,47.54
23,47.46
24,47.69
25,47.61
26,47.64
27,47.67
28,47.62
29,47.62
30,47.61
31,47.58
32,47.57
33,47.53
34,47.58
35,47.5
36,47.49
37,47.48
38,47.44
39,47.42
40,47.41
41,47.38
42,47.37
43,47.35
44,47.36
45,47.32
46,47.3
47,47.3
48,47.28
49,47.27
50,47.26
51,47.25
52,47.25
53,47.24
54,47.25
55,47.24
56,47.23
57,47.24
58,47.23
59,47.23
60,47.23
61,47.23
62,47.23
63,47.23
64,47.23
65,47.23
66,47.23
67,47.24
68,47.24
69,47.24
70,47.25
71,47.25
72,47.25
73,47.25
74,47.26
75,47.26
76,47.26
77,47.27
78,47.27
79,47.27
80,47.27
81,47.27
82,47.27
83,47.27
84,47.27
85,47.27
86,47.27
87,47.28
88,47.28
89,47.28
90,47.28
91,47.28
92,47.28
93,47.28
94,47.28
95,47.28
96,47.28
97,47.28
98,47.28
