step,energy_ry
95,-10372.2327183
51,-10372.2611974
51,-10372.28447696
80,-10372.2803517
57,-10372.28915245
47,-10372.28999229
38,-10372.29152946
42,-10372.29282425
47,-10372.29404497
41,-10372.29512665
48,-10372.29619344
51,-10372.29751228
65,-10372.29968388
66,-10372.3030634
75,-10372.30733823
74,-10372.31246187
57,-10372.32298963
52,-10372.3347903
57,-10372.34916853
68,-10372.3213896
93,-10372.35514081
70,-10372.36675747
52,-10372.37551199
56,-10372.38053389
51,-10372.38421293
51,-10372.38882471
79,-10372.39696083
69,-10372.40541031
57,-10372.4103182
60,-10372.41794591
57,-10372.42080561
