step,conv_thr_ry
72,2e-07
33,9.89e-08
42,9.88e-08
49,9.88e-08
42,4.54e-08
39,2.59e-08
37,4.39e-08
36,4.13e-08
37,5.35e-08
36,6.84e-08
39,8.64e-08
38,5.02e-08
32,5.08e-08
29,3.57e-08
37,4.84e-08
42,3.85e-08
49,2.17e-08
63,2.23e-08
49,1.52e-08
41,1.47e-08
49,2.51e-08
41,1.98e-08
44,1.17e-08
43,1.16e-08
47,1.53e-08
42,1.68e-08
44,2.57e-08
49,4.65e-08
50,6.41e-08
47,4.81e-08
42,2.72e-08
48,3.75e-08
51,1.61e-08
54,2e-08
42,2.44e-08
40,1.97e-08
42,2.02e-08
37,1.3e-08
47,2e-08
42,1.92e-08
46,1.23e-08
43,1.39e-08
41,1.61e-08
48,1.73e-08
41,1.76e-08
41,1.78e-08
41,1.53e-08
