step,energy_ry
72,-10373.5075107
33,-10373.51421049
42,-10373.52477084
49,-10373.52488241
42,-10373.52903891
39,-10373.53033611
37,-10373.53253356
36,-10373.53459852
37,-10373.53751063
36,-10373.54147979
39,-10373.54579945
38,-10373.54830987
32,-10373.55084814
29,-10373.5526333
37,-10373.55505339
42,-10373.55822214
49,-10373.56195259
63,-10373.564868
49,-10373.56562718
41,-10373.56636155
49,-10373.56762843
41,-10373.56861748
44,-10373.56945975
43,-10373.57047736
47,-10373.57165188
42,-10373.57332863
44,-10373.57550749
49,-10373.5782855
50,-10373.58149271
47,-10373.58458895
42,-10373.58852955
48,-10373.59133171
51,-10373.59213673
54,-10373.59431661
42,-10373.59606986
40,-10373.59765547
42,-10373.59877658
