step,gradient_error_ry_bohr
72,0.061
33,0.054
42,0.054
49,0.074
42,0.025
39,0.025
37,0.027
36,0.028
37,0.029
36,0.038
39,0.059
38,0.071
32,0.05
29,0.04
37,0.031
42,0.021
49,0.012
63,0.012
49,0.012
41,0.011
49,0.014
41,0.011
44,0.0064
43,0.0064
47,0.0084
42,0.0092
44,0.014
49,0.026
50,0.043
47,0.026
42,0.015
48,0.021
51,0.016
54,0.011
42,0.013
40,0.011
42,0.011
37,0.0082
47,0.011
42,0.011
46,0.01
43,0.009
41,0.0089
48,0.0095
41,0.0097
41,0.0098
41,0.0084
38,0.02
42,0.029
37,0.0072
40,0.01
43,0.015
41,0.0069
39,0.014
47,0.0051
40,0.015
36,0.0074
32,0.0058
42,0.003
42,0.0027
37,0.0019
46,0.0036
