step,scf_accuracy_ry
1,44.65113755
2,54.85121721
3,29.57342906
4,108.04493294
5,24.07412382
6,22.19484446
7,9.58693874
8,6.94754203
9,4.46876705
10,3.60745991
11,2.25600198
12,0.92581797
13,0.73715597
14,0.60896656
15,3.46569156
16,0.69815028
17,0.47587584
18,0.0625738
19,0.05765205
20,0.03936316
21,0.03313398
22,0.02887148
23,0.0202984
24,0.01832748
25,0.06459102
26,0.04658895
27,0.00805045
28,0.00277219
29,0.00262722
30,0.00254236
31,0.00193661
32,0.00210258
33,0.0010739
34,0.00075841
35,0.00072726
36,0.00266168
37,0.00084098
38,0.00043827
39,0.00040113
40,0.00017073
41,0.00011055
42,5.826e-05
43,9.122e-05
44,6.722e-05
45,3.73e-05
46,4.21e-05
