step,total_force_ry_bohr
72,0.094302
33,0.086203
42,0.074226
49,0.137969
42,0.055204
39,0.056348
37,0.050927
36,0.050775
37,0.054725
36,0.065903
39,0.088789
38,0.104201
32,0.083379
29,0.072999
37,0.061874
42,0.04872
49,0.033416
63,0.024514
49,0.026299
41,0.0213
49,0.02717
41,0.031568
44,0.025524
43,0.022553
47,0.023068
42,0.026484
44,0.033825
49,0.050557
50,0.07638
47,0.059264
42,0.046958
48,0.047213
51,0.043081
54,0.035739
42,0.030176
40,0.02478
42,0.0285
37,0.02625
47,0.023666
42,0.023355
46,0.023389
43,0.023872
41,0.024671
48,0.02602
41,0.025163
41,0.024575
41,0.022998
