step,scf_accuracy_ry
1,43.73574226
2,55.83971598
3,26.75926877
4,135.25444966
5,25.62856764
6,16.91897061
7,10.33543519
8,7.59133186
9,6.82599599
10,2.72278699
11,0.8757899
12,0.82367051
13,0.57535025
14,0.72268083
15,0.97317197
16,0.11052459
17,0.09272136
18,0.0530944
19,0.03120641
20,0.0246963
21,0.02345205
22,0.01542496
23,0.00722684
24,0.00541102
25,0.0046362
26,0.01542312
27,0.00582727
28,0.00760372
29,0.00299509
30,0.00068025
31,0.00074224
32,0.00057919
33,0.00088284
34,0.00059114
35,0.00029671
36,0.00053567
37,0.00041366
38,0.00023613
39,0.00022902
