step,total_magnetization_bohr_cell
1,136.87
2,137.73
3,136.68
4,132.89
5,125.55
6,116.58
7,111.84
8,108.53
9,100.61
10,73.01
11,68.17
12,66.37
13,65.9
14,63.57
15,62.98
16,63.64
17,63.9
18,64.09
19,64.13
20,64.37
21,64.27
22,64.57
23,64.65
24,64.67
25,64.67
26,64.68
27,64.72
28,64.77
29,64.8
30,64.81
31,64.81
32,64.82
33,64.83
34,64.85
35,64.87
36,64.87
37,64.87
38,64.86
39,64.86
40,64.86
41,64.86
42,64.85
43,64.84
44,64.83
45,64.82
46,64.81
47,64.8
48,64.79
49,64.79
50,64.78
51,64.77
52,64.76
53,64.74
54,64.73
55,64.72
56,64.72
57,64.71
58,64.71
59,64.71
60,64.7
61,64.7
62,64.69
63,64.69
64,64.69
65,64.69
66,64.69
67,64.69
68,64.69
69,64.69
70,64.69
71,64.69
72,64.69
73,64.69
