step,conv_thr_ry
94,2e-07
37,2e-07
31,4.04e-08
28,5.1e-09
42,3.2e-09
38,2e-09
26,2e-09
30,2e-09
36,2e-09
38,2e-09
28,2e-09
28,2e-09
36,2e-09
41,2e-09
42,2e-09
41,2e-09
46,2e-09
41,4.8e-09
33,4.9e-09
37,7.2e-09
42,1.08e-08
47,1.62e-08
51,2.42e-08
53,3.45e-08
56,3.99e-08
51,1.56e-08
48,2.85e-08
41,1.74e-08
47,1.39e-08
49,2.01e-08
53,2.86e-08
51,3.38e-08
46,3.33e-08
43,3.5e-08
47,7.4e-08
36,4.29e-08
60,5.31e-08
48,4.22e-08
47,2.76e-08
46,2.44e-08
37,1.96e-08
37,9.4e-09
40,8.2e-09
49,8.3e-09
51,9.5e-09
57,1.11e-08
52,1.21e-08
51,1.83e-08
52,2.69e-08
58,3.74e-08
53,2.76e-08
47,5.79e-08
40,9.4e-08
36,6.69e-08
40,8.89e-08
48,7.99e-08
39,4.64e-08
42,3.43e-08
46,3.58e-08
37,3.01e-08
37,2.5e-08
37,2.43e-08
38,2.59e-08
39,2.92e-08
42,3.34e-08
38,3.65e-08
38,3.32e-08
39,1.96e-08
38,1.6e-08
39,1.83e-08
31,1.02e-08
33,8.6e-09
40,9.9e-09
38,8.4e-09
42,5.2e-09
47,2.1e-09
41,4.9e-09
