step,energy_ry
94,-10090.45470641
37,-10090.4546641
31,-10090.45672665
28,-10090.45697918
42,-10090.45714046
38,-10090.45718202
26,-10090.4571962
30,-10090.45721228
36,-10090.45722993
38,-10090.45724319
28,-10090.45725076
28,-10090.45725926
36,-10090.45727264
41,-10090.45729201
42,-10090.45731919
41,-10090.45735201
46,-10090.45736776
41,-10090.45760531
33,-10090.45784893
37,-10090.45820815
42,-10090.45874695
47,-10090.45955616
51,-10090.46076398
53,-10090.46249071
56,-10090.46448464
51,-10090.46526274
48,-10090.46668978
41,-10090.46755774
47,-10090.46825272
49,-10090.4692566
53,-10090.47068854
51,-10090.47237674
46,-10090.47404144
43,-10090.47579278
47,-10090.47949521
36,-10090.48163784
60,-10090.48429376
48,-10090.48640465
47,-10090.48778402
46,-10090.48900601
37,-10090.48998622
37,-10090.49045693
40,-10090.49086878
49,-10090.49128295
51,-10090.49176011
57,-10090.49231654
52,-10090.49292245
51,-10090.49383547
52,-10090.49517845
58,-10090.4970504
53,-10090.49843058
47,-10090.50132736
40,-10090.5060271
36,-10090.50937254
40,-10090.51381627
48,-10090.51971379
39,-10090.52203476
42,-10090.52374874
46,-10090.52553971
37,-10090.52704626
37,-10090.52829675
37,-10090.52951186
38,-10090.53080639
39,-10090.53226419
42,-10090.53393581
38,-10090.53576199
38,-10090.53742274
39,-10090.5384007
38,-10090.53920284
39,-10090.54011805
31,-10090.54062685
33,-10090.54105705
40,-10090.54155085
