step,gradient_error_ry_bohr
94,0.063
37,0.084
31,0.012
28,0.0076
42,0.0021
38,0.0015
26,0.0016
30,0.0013
36,0.00071
38,0.0011
28,0.0015
28,0.0019
36,0.0025
41,0.0034
42,0.0048
41,0.0067
46,0.0096
41,0.011
33,0.012
37,0.014
42,0.016
47,0.02
51,0.025
53,0.036
56,0.066
51,0.098
48,0.059
41,0.053
47,0.056
49,0.061
53,0.067
51,0.07
46,0.069
43,0.064
47,0.061
36,0.034
60,0.025
48,0.017
47,0.011
46,0.0082
37,0.0054
37,0.0051
40,0.0079
49,0.013
51,0.018
57,0.022
52,0.023
51,0.024
52,0.025
58,0.028
53,0.038
47,0.031
40,0.028
36,0.027
40,0.026
48,0.02
39,0.014
42,0.013
46,0.02
37,0.015
