step,scf_accuracy_ry
1,42.04806567
2,53.90420872
3,27.28603089
4,124.24224601
5,35.74749209
6,20.07753009
7,13.00275715
8,19.36698266
9,8.43097512
10,1.89215254
11,0.72905106
12,0.37079659
13,0.24672548
14,1.59467489
15,0.50963904
16,0.08552219
17,0.12922453
18,0.04519415
19,0.01990428
20,0.02229946
21,0.01473736
22,0.0153698
23,0.01188225
24,0.01233223
25,0.01877196
26,0.00379753
27,0.00267656
28,0.00408719
29,0.0022129
30,0.00150196
31,0.0016666
32,0.00148433
33,0.00148753
34,0.00099912
35,0.00811251
36,0.00056626
37,0.00033291
38,0.00025058
39,0.00027028
40,0.00018605
41,0.0002558
42,0.00020889
43,0.00016941
44,9.999e-05
45,0.00052291
46,6.297e-05
47,4.823e-05
48,3.933e-05
49,4.252e-05
50,3.385e-05
51,3.549e-05
52,3.198e-05
53,2.647e-05
54,1.941e-05
55,5.893e-05
56,1.832e-05
57,1.507e-05
58,1.167e-05
59,1.153e-05
60,9.15e-06
61,8.21e-06
62,7.38e-06
63,6.73e-06
64,4.41e-06
65,1.658e-05
66,4.66e-06
67,2.97e-06
68,2.44e-06
69,2.1e-06
70,2.01e-06
71,1.86e-06
72,2.26e-06
73,2.44e-06
74,1.45e-06
75,5.4e-06
76,1.62e-06
77,9.6e-07
78,8.7e-07
79,7.5e-07
80,7.8e-07
81,6.8e-07
82,8.7e-07
83,8.9e-07
84,4.9e-07
85,1.41e-06
86,4.4e-07
87,3.2e-07
88,3.2e-07
89,2.7e-07
90,2.5e-07
