step,total_force_ry_bohr
94,0.087035
37,0.107347
31,0.017081
28,0.011418
42,0.005049
38,0.00362
26,0.003342
30,0.002715
36,0.002016
38,0.002274
28,0.002707
28,0.003196
36,0.003968
41,0.005291
42,0.007385
41,0.010636
46,0.015573
41,0.015229
33,0.015666
37,0.017214
42,0.020919
47,0.028226
51,0.041245
53,0.062979
56,0.097908
51,0.137164
48,0.104445
41,0.102425
47,0.106056
49,0.109946
53,0.111936
51,0.111451
46,0.11095
43,0.098428
47,0.107041
36,0.054751
60,0.050034
48,0.040545
47,0.032948
46,0.023388
37,0.016237
37,0.016346
40,0.018233
49,0.021592
51,0.026224
57,0.031089
52,0.034588
51,0.039209
52,0.047525
58,0.062594
53,0.085415
47,0.069374
40,0.064721
36,0.063029
40,0.059033
48,0.049891
39,0.043163
42,0.036482
