step,total_magnetization_bohr_cell
1,142.08
2,131.03
3,131.9
4,130.98
5,126.26
6,121.73
7,116.46
8,95.85
9,94.94
10,91.95
11,89.49
12,89.04
13,87.37
14,86.14
15,86.27
16,85.67
17,86.77
18,87.03
19,87.91
20,87.93
21,88.03
22,88.14
23,88.34
24,88.81
25,88.87
26,89.02
27,89.11
28,89.33
29,89.34
30,89.49
31,89.54
32,89.59
33,89.65
34,89.75
35,89.78
36,89.85
37,89.89
38,89.92
39,89.94
40,89.97
41,90.0
42,90.02
43,90.04
44,90.07
45,90.09
46,90.1
47,90.1
48,90.11
49,90.12
50,90.12
51,90.13
52,90.13
53,90.14
54,90.14
55,90.14
56,90.15
57,90.15
58,90.15
59,90.15
60,90.16
61,90.16
62,90.16
63,90.16
64,90.16
65,90.16
66,90.16
67,90.16
68,90.16
69,90.16
70,90.16
71,90.16
72,90.16
73,90.16
74,90.16
75,90.16
76,90.15
77,90.15
78,90.15
79,90.15
80,90.15
81,90.15
82,90.15
83,90.15
84,90.15
85,90.15
86,90.15
87,90.15
88,90.15
89,90.15
90,90.14
