atom,element,valence_electron,bader_charge,delta_q
1,Ni,10,9.99711,0.0028900000000007253
2,Ni,10,10.045316,-0.04531599999999969
3,Ni,10,10.042486,-0.042486000000000246
4,Ni,10,10.041809,-0.04180900000000065
5,Ni,10,10.012292,-0.012292000000000414
6,Ni,10,10.014767,-0.014767000000000863
7,Ni,10,10.019141,-0.01914099999999941
8,Ni,10,10.031284,-0.03128399999999942
9,Ni,10,10.036936,-0.036936000000000746
10,Ni,10,10.036984,-0.03698400000000035
11,Ni,10,10.041987,-0.04198700000000066
12,Ni,10,10.00388,-0.0038800000000005497
13,Ni,10,10.017084,-0.017084000000000543
14,Ni,10,10.048456,-0.04845599999999983
15,Ni,10,10.037565,-0.03756500000000074
16,Ni,10,10.042418,-0.04241799999999962
17,Ni,10,10.036775,-0.036775000000000446
18,Ni,10,10.021198,-0.02119800000000005
19,Ni,10,10.008596,-0.008596000000000714
20,Ni,10,10.033374,-0.03337400000000024
21,Ni,10,10.042193,-0.04219299999999926
22,Ni,10,10.036156,-0.03615600000000008
23,Ni,10,10.03757,-0.03757000000000055
24,Ni,10,10.006746,-0.006745999999999697
25,Ni,10,10.022327,-0.022327000000000652
26,Ni,10,9.951517,0.048482999999999166
27,Ni,10,9.994368,0.005632000000000303
28,Ni,10,9.980154,0.019845999999999364
29,Ni,10,9.983943,0.016056999999999988
30,Ni,10,9.943277,0.05672299999999986
31,Ni,10,9.97081,0.029189999999999827
32,Ni,10,9.954606,0.045393999999999934
33,Ni,10,9.970013,0.029987000000000208
34,Ni,10,9.985703,0.014296999999999116
35,Ni,10,9.978258,0.021741999999999706
36,Ni,10,9.980034,0.01996600000000015
37,Ni,10,9.946431,0.053568999999999534
38,Ni,10,9.971726,0.02827399999999969
39,Ni,10,9.98579,0.014210000000000278
40,Ni,10,9.977138,0.022861999999999938
41,Ni,10,9.984402,0.015598000000000667
42,Ni,10,9.985559,0.014440999999999704
43,Ni,10,9.960045,0.03995500000000085
44,Ni,10,9.932183,0.0678169999999998
45,Ni,10,9.983986,0.016014000000000195
46,Ni,10,9.967344,0.03265599999999935
47,Ni,10,9.978405,0.021594999999999587
48,Ni,10,9.978181,0.0218190000000007
49,Ni,10,9.957088,0.042911999999999395
50,Ni,10,9.972382,0.027618000000000364
51,Ni,10,9.975622,0.024378000000000455
52,Ni,10,9.984066,0.01593399999999967
53,Ni,10,9.97955,0.0204500000000003
54,Ni,10,9.982327,0.017673000000000272
55,Ni,10,9.943626,0.056373999999999924
56,Ni,10,9.958789,0.04121100000000055
57,Ni,10,9.933323,0.06667700000000032
58,Ni,10,9.985953,0.014046999999999699
59,Ni,10,9.986165,0.013835000000000264
60,Ni,10,9.984322,0.015677999999999415
61,Ni,10,9.97852,0.021480000000000388
62,Ni,10,9.960504,0.039495999999999754
63,Ni,10,9.968316,0.03168400000000027
64,Ni,10,9.973029,0.026970999999999634
65,Ni,10,9.973555,0.026445000000000718
66,Ni,10,9.982326,0.017673999999999523
67,Ni,10,9.98587,0.014129999999999754
68,Ni,10,9.949048,0.05095200000000055
69,Ni,10,9.95517,0.04482999999999926
70,Ni,10,9.995226,0.00477399999999939
71,Ni,10,9.966782,0.03321799999999975
72,Ni,10,9.98447,0.015530000000000044
73,Ni,10,9.973556,0.02644399999999969
74,Ni,10,9.971528,0.02847200000000072
75,Ni,10,9.948909,0.05109099999999955
76,Ni,10,9.993903,0.006097000000000463
77,Ni,10,10.04088,-0.04087999999999958
78,Ni,10,10.043201,-0.04320099999999982
79,Ni,10,10.042944,-0.042944000000000315
80,Ni,10,10.015961,-0.01596100000000078
81,Ni,10,10.010957,-0.01095699999999944
82,Ni,10,10.02116,-0.021160000000000068
83,Ni,10,10.035008,-0.035007999999999484
84,Ni,10,10.037331,-0.037331
85,Ni,10,10.038214,-0.03821399999999997
86,Ni,10,10.043921,-0.04392099999999921
87,Ni,10,10.006969,-0.006968999999999781
88,Ni,10,10.009213,-0.009213000000000804
89,Ni,10,10.048233,-0.04823299999999975
90,Ni,10,10.040321,-0.040321000000000495
91,Ni,10,10.042224,-0.04222399999999915
92,Ni,10,10.037331,-0.037331
93,Ni,10,10.021019,-0.021019000000000787
94,Ni,10,10.01734,-0.0173400000000008
95,Ni,10,10.031608,-0.0316080000000003
96,Ni,10,10.045519,-0.04551900000000053
97,Ni,10,10.038592,-0.038591999999999516
98,Ni,10,10.040324,-0.040324000000000026
99,Ni,10,10.005005,-0.005005000000000592
100,Ni,10,10.022167,-0.022166999999999604
