step,scf_accuracy_ry
1,1.15688256
2,1.11851882
3,0.80078852
4,0.43698552
5,0.53011997
6,0.73739706
7,0.22626501
8,0.23012083
9,0.29731149
10,0.18910365
11,0.08529054
12,0.06729366
13,0.05419841
14,0.03335684
15,0.01483097
16,0.01254675
17,0.0243935
18,0.01646093
19,0.17330302
20,0.0474571
21,0.00537942
22,0.00451037
23,0.00775386
24,0.00347189
25,0.00163804
26,0.00118841
27,0.00042473
28,0.00068921
29,0.000287
30,0.00013997
31,0.00013199
32,8.477e-05
33,5.717e-05
34,1.375e-05
35,3.943e-05
36,5.918e-05
37,7.584e-05
38,6.921e-05
39,2.749e-05
40,1.42e-05
41,3.335e-05
42,7.69e-06
43,2.78e-06
44,2.32e-06
45,3.69e-06
46,3.09e-06
47,1.83e-06
48,7e-07
49,2.4e-07
50,2.6e-07
51,3.2e-07
52,2.5e-07
53,2.7e-07
54,2.1e-07
55,3.5e-07
56,4.7e-07
57,3e-08
