step,scf_accuracy_ry
1,1.18498641
2,1.07143949
3,0.35993343
4,0.21561975
5,0.14893418
6,0.08575072
7,0.05246756
8,0.01288146
9,0.00960511
10,0.00671347
11,0.00134381
12,0.00155844
13,0.00188773
14,0.00071665
15,0.00122721
16,0.00067087
17,0.00053187
18,0.00031612
19,0.00027194
20,9.732e-05
21,0.00019526
22,8.409e-05
23,2.509e-05
24,1.253e-05
25,1.534e-05
26,1.789e-05
27,1.534e-05
28,1.909e-05
29,5.08e-06
30,3.35e-06
31,8.1e-07
32,4.7e-07
33,4.7e-07
34,3.2e-07
35,1.04e-06
36,9.2e-07
37,5.4e-07
38,5e-07
39,6.7e-07
40,4.5e-07
41,1.1e-07
42,2e-08
