step,scf_accuracy_ry
1,932.95316546
2,4986.70047268
3,308.97029997
4,38.44831509
5,10.62319516
6,6.03285487
7,4.04204907
8,0.78885177
9,0.51916836
10,0.19107444
11,0.53201205
12,0.10872527
13,0.07476499
14,0.06336054
15,0.01814985
16,0.01441382
17,0.00836274
18,0.00207545
19,0.00177684
20,0.00118052
21,0.00075378
22,0.00039267
23,0.00024159
24,0.00026547
25,0.0001988
26,0.00013245
27,9.529e-05
28,3.362e-05
29,2e-05
30,1.355e-05
31,6.77e-06
32,4.51e-06
33,3.09e-06
34,2.57e-06
35,2.23e-06
36,1.44e-06
37,9.4e-07
38,9.9e-07
39,5.4e-07
40,4.3e-07
41,3e-07
42,1.2e-07
43,9e-08
