step,scf_accuracy_ry
1,942.1195794
2,5942.85344904
3,275.79061947
4,28.45364272
5,6.78692517
6,4.96715362
7,2.59578563
8,1.70127819
9,1.38140406
10,1.13662684
11,1.17998434
12,0.28640441
13,0.22469474
14,0.08811843
15,0.06365024
16,0.03967592
17,0.02308588
18,0.01090414
19,0.00710234
20,0.00544747
21,0.00257565
22,0.00208944
23,0.00117153
24,0.00079448
25,0.00043949
26,0.00041384
27,0.00033593
28,0.00024316
29,0.00012576
30,6.294e-05
31,4.792e-05
32,4.172e-05
33,2.871e-05
34,2.373e-05
35,8.32e-06
36,5.1e-06
37,3.05e-06
38,2.36e-06
39,2.15e-06
40,1.2e-06
41,7.3e-07
42,5.2e-07
43,4.8e-07
44,2.4e-07
45,2.1e-07
46,1.6e-07
47,9e-08
