step,scf_accuracy_ry
1,45.05458376
2,556.0894094
3,59.79833179
4,421.17590513
5,12.04412795
6,4.90855525
7,7.9905918
8,38.6490309
9,32.3124933
10,5.05070145
11,2.48360784
12,0.46588677
13,1.62002512
14,3.74517621
15,0.42556589
16,0.45697628
17,0.14941995
18,0.16107589
19,0.10428571
20,0.04574728
21,0.01821374
22,0.03058506
23,0.01493633
24,0.10141491
25,0.00602373
26,0.01017606
27,0.00451401
28,0.00136712
29,0.00078881
30,0.00050164
31,0.00095454
32,0.00229972
33,0.00016492
34,0.00011759
35,0.00067172
36,9.615e-05
37,0.00016802
38,7.767e-05
39,4.933e-05
40,2.552e-05
41,1.207e-05
42,2.141e-05
43,2.398e-05
44,4.51e-06
45,3.4e-06
46,5.83e-06
47,4.111e-05
48,4.56e-06
49,1.67e-06
50,1.57e-06
51,7.8e-07
52,7.2e-07
53,2.22e-06
54,2.7e-07
55,1.9e-07
56,2.3e-07
57,4.37e-06
58,2.4e-07
59,1e-07
60,6e-08
