step,scf_accuracy_ry
1,39.3384313
2,506.85739854
3,45.14487491
4,328.70606851
5,11.13619373
6,3.59703378
7,5.4813336
8,26.84159419
9,14.67758383
10,7.26018788
11,1.99898298
12,0.30100147
13,0.60129732
14,2.4255842
15,1.03762671
16,0.60788306
17,0.6458947
18,0.19142166
19,0.33098711
20,0.00870315
21,0.00360637
22,0.01186521
23,0.00104386
24,0.00111806
25,0.00952828
26,0.00195831
27,0.00023101
28,0.00073073
29,0.00122388
30,8.498e-05
31,5.707e-05
32,4.217e-05
33,4.327e-05
34,2.448e-05
35,1.052e-05
36,4.84e-06
37,1.135e-05
38,4.26e-06
39,2.18e-06
40,4.36e-06
41,6.4e-07
42,1.29e-06
43,9.4e-07
44,1.8e-07
45,1.5e-07
46,9e-08
