step,energy_ry
1,-8039.32494052
2,-8039.37261247
3,-8039.41820829
4,-8039.4768698
5,-8039.54635376
6,-8039.61841977
7,-8039.67590545
8,-8039.70654663
9,-8039.74459701
10,-8039.80817001
11,-8039.89766275
12,-8039.96218982
13,-8040.02098965
14,-8040.06039816
15,-8040.06953903
16,-8040.07443948
17,-8040.0782726
18,-8040.08188054
19,-8040.08538115
20,-8040.08881517
21,-8040.09187161
22,-8040.09529812
23,-8040.10011189
24,-8040.10821562
25,-8040.11486233
26,-8040.12274446
27,-8040.13182198
28,-8040.14464085
29,-8040.16329175
30,-8040.17863147
