step,total_force_ry_bohr
1,0.346613
2,0.2049
3,0.088119
4,0.053994
5,0.051463
6,0.045917
7,0.035037
8,0.028275
9,0.024925
10,0.021936
11,0.018735
12,0.016384
13,0.01384
14,0.011766
15,0.011202
16,0.011369
17,0.011275
18,0.010723
19,0.010131
20,0.010184
21,0.010858
22,0.012047
23,0.013141
24,0.013929
25,0.015333
26,0.016561
27,0.017218
28,0.017866
29,0.017808
30,0.016424
31,0.01401
32,0.011375
33,0.008829
34,0.006986
35,0.006175
36,0.00589
37,0.005806
38,0.00591
39,0.006016
40,0.006042
41,0.005853
42,0.005545
43,0.004964
44,0.004068
45,0.00315
46,0.002324
47,0.001683
48,0.001234
