step,energy_ry
1,-8040.90422659
2,-8040.99773905
3,-8041.04888315
4,-8041.06128996
5,-8041.06476874
6,-8041.06870893
7,-8041.07357821
8,-8041.07580772
9,-8041.07702717
10,-8041.07818425
11,-8041.07945053
12,-8041.08025969
13,-8041.08086692
14,-8041.0813569
15,-8041.08176509
16,-8041.08216572
17,-8041.08252294
18,-8041.08285553
19,-8041.08316733
20,-8041.08349452
21,-8041.08384406
22,-8041.08425929
23,-8041.08473865
24,-8041.08523735
25,-8041.0856747
26,-8041.08606254
27,-8041.08642354
28,-8041.08676218
29,-8041.0870257
30,-8041.08720943
31,-8041.0873628
32,-8041.08749752
33,-8041.08760023
34,-8041.08767834
