step,energy_ry
82,-8040.63859244
41,-8040.73318134
41,-8040.7855559
40,-8040.79906074
42,-8040.80293685
42,-8040.80724989
46,-8040.81251974
43,-8040.8149859
41,-8040.81608169
42,-8040.81704474
47,-8040.81809459
48,-8040.81879082
40,-8040.81917343
41,-8040.81952101
41,-8040.81976584
43,-8040.82002968
42,-8040.82026282
40,-8040.82049336
41,-8040.82069885
45,-8040.82090291
42,-8040.82110427
41,-8040.82134617
44,-8040.82163955
47,-8040.82198263
48,-8040.82242012
42,-8040.82285006
47,-8040.82333721
50,-8040.82399742
50,-8040.82462518
44,-8040.82517557
43,-8040.82563454
40,-8040.82595244
39,-8040.82616102
40,-8040.82628741
37,-8040.82637091
39,-8040.82643733
38,-8040.82650661
39,-8040.82657678
36,-8040.82664163
39,-8040.82670988
48,-8040.82678152
49,-8040.82685187
40,-8040.82690528
37,-8040.82694574
36,-8040.82697363
33,-8040.82698938
37,-8040.826998
28,-8040.82700183
