step,gradient_error_ry_bohr
82,0.07
41,0.044
41,0.021
40,0.0098
42,0.01
42,0.0096
46,0.0074
43,0.0058
41,0.0052
42,0.0046
47,0.0048
48,0.0035
40,0.0027
41,0.0029
41,0.0027
43,0.0023
42,0.0019
40,0.0023
41,0.0027
45,0.0027
42,0.0029
41,0.0031
44,0.0029
47,0.0035
48,0.004
42,0.0034
47,0.0035
50,0.0036
50,0.0043
44,0.0041
43,0.0035
40,0.0033
39,0.0026
40,0.0018
37,0.0012
39,0.0012
38,0.0012
39,0.0011
36,0.0013
39,0.0012
48,0.0012
49,0.0012
40,0.00096
37,0.00095
36,0.00078
33,0.0007
37,0.00058
28,0.00032
