step,scf_accuracy_ry
1,1203.94330521
2,87663.49921569
3,830.59373381
4,121.39869162
5,41.86021196
6,74.80621806
7,22.89779592
8,21.72999195
9,15.53080209
10,4.99877112
11,2.37992609
12,12.61703798
13,0.5115599
14,0.14374333
15,0.2081495
16,0.11646029
17,0.12519688
18,0.0455383
19,0.03476888
20,0.03608921
21,0.0145264
22,0.01100159
23,0.00493862
24,0.00351147
25,0.00198578
26,0.00158376
27,0.00486242
28,0.00875604
29,0.00084203
30,0.00037241
31,0.00035874
32,0.00108027
33,0.00041624
34,0.00011937
35,7.738e-05
36,6.364e-05
37,9.17e-05
38,0.00036422
39,6.288e-05
40,4.409e-05
41,2.812e-05
42,2.045e-05
43,2.395e-05
44,4.139e-05
45,1.261e-05
46,7.04e-06
47,6.65e-06
48,6.39e-06
49,3.861e-05
50,1.216e-05
51,3.28e-06
52,2.37e-06
53,2.27e-06
54,8.44e-06
55,2.15e-06
56,9e-07
57,6.5e-07
58,6.9e-07
59,3.94e-06
60,1.99e-06
61,4.6e-07
62,2.3e-07
63,1.8e-07
64,5.6e-07
65,2.7e-07
66,8e-08
67,7e-08
68,7e-08
69,2.1e-07
70,1.6e-07
71,5e-08
72,3e-08
73,2e-08
74,6e-08
75,5e-08
76,2e-08
77,2e-08
78,2e-08
79,4e-08
80,4e-08
81,2e-08
82,9.1e-09
1,0.06890295
2,12.8082855
3,0.59839006
4,0.0581884
5,0.0088839
6,0.00388952
7,0.00346705
8,0.00221282
9,0.00069389
10,0.00192
11,0.00030657
12,0.00065788
13,0.00047276
14,0.00022897
15,0.00023896
16,0.00021089
17,7.992e-05
18,4.687e-05
19,3.016e-05
20,1.608e-05
21,1.714e-05
22,6.41e-06
23,3.36e-06
24,2.266e-05
25,1.27e-05
26,2.46e-06
27,1.29e-06
28,5.8e-07
29,7.1e-07
30,4.5e-07
31,1.5e-07
32,2.3e-07
33,1e-07
34,2.6e-07
35,1.1e-07
36,3e-08
37,4e-08
38,5e-08
39,3e-08
40,1e-08
41,5.4e-09
1,0.09159001
2,16.9550666
3,0.85360531
4,0.06204268
5,0.00869489
6,0.00413869
7,0.00467542
8,0.00277785
9,0.00083739
10,0.00217904
11,0.00040201
12,0.0003833
13,0.00023701
14,0.00063198
15,0.00027877
16,0.00030712
17,5.104e-05
18,4.841e-05
19,2.385e-05
20,1.723e-05
21,1.657e-05
22,5.85e-06
23,2.68e-06
24,2.154e-05
25,8.94e-06
26,1.88e-06
27,1.18e-06
28,6.3e-07
29,7.9e-07
30,3.3e-07
31,1.6e-07
32,2.7e-07
33,8e-08
34,1.4e-07
35,1e-07
36,3e-08
37,6e-08
38,3e-08
39,2e-08
40,1e-08
41,4.6e-09
1,0.05841462
2,11.95893076
3,0.57993554
4,0.03016646
5,0.00339067
6,0.00158049
7,0.00178852
8,0.00087424
9,0.00034418
10,0.00051939
11,0.0001479
12,0.00010924
13,9.634e-05
14,0.00056519
15,0.00016249
16,0.00012992
17,1.033e-05
18,6.77e-06
19,5.4e-06
20,7.43e-06
21,1.36e-06
22,1.85e-06
23,3.03e-06
24,5.12e-06
25,2.6e-06
26,5e-07
27,4.2e-07
28,3.8e-07
29,2.3e-07
30,9e-08
31,9e-08
32,9e-08
33,1.3e-07
34,9e-08
35,4e-08
36,2e-08
37,3e-08
38,2e-08
39,5.9e-09
40,2.3e-09
1,0.01369724
2,3.11911541
3,0.1521279
4,0.00608411
5,0.00034849
6,0.00019113
7,0.00012774
8,7.63e-05
9,4.82e-05
10,4.272e-05
11,2.056e-05
12,1.535e-05
13,8.814e-05
14,7.153e-05
15,5.484e-05
16,2.959e-05
17,3.4e-06
18,1.32e-06
19,9e-07
20,7e-07
21,5.3e-07
22,3.2e-07
23,2e-07
24,4.26e-06
25,2.9e-07
26,2.7e-07
27,1.2e-07
28,1.3e-07
29,9e-08
30,6e-08
31,5e-08
32,3e-08
33,2e-08
34,5e-08
35,1.6e-07
36,4e-08
37,3e-08
38,7.3e-09
39,7.1e-09
40,4.2e-09
41,2.7e-09
42,1.9e-09
1,0.01743687
2,3.7540947
3,0.20003528
4,0.00820256
5,0.00041009
6,0.00023883
7,0.00017262
8,0.00011863
9,5.932e-05
10,5.273e-05
11,2.693e-05
12,4.456e-05
13,0.0001064
14,4.534e-05
15,4.274e-05
16,1.454e-05
17,2.95e-06
18,2.19e-06
19,1.48e-06
20,1.88e-06
21,5.6e-07
22,6.7e-07
23,1.51e-06
24,1.37e-06
25,8.6e-07
26,3.4e-07
27,1.7e-07
28,9e-08
29,1.1e-07
30,7e-08
31,3e-08
32,3e-08
33,5e-08
34,7e-08
35,4e-08
36,2e-08
37,1e-08
38,6.9e-09
39,6.1e-09
40,4.1e-09
41,2.2e-09
42,1.9e-09
1,0.04085983
2,7.83282079
3,0.47042808
4,0.02121224
5,0.00125595
6,0.00067309
7,0.00068972
8,0.00064021
9,0.00015945
10,0.00054181
11,8.384e-05
12,8.457e-05
13,0.00027608
14,7.318e-05
15,0.00010145
16,3.031e-05
17,8.24e-06
18,5.21e-06
19,4.93e-06
20,4.51e-06
21,1.37e-06
22,7.1e-07
23,4.34e-06
24,1.88e-06
25,2.11e-06
26,5.4e-07
27,2.3e-07
28,1.9e-07
29,1.5e-07
30,1.5e-07
31,6e-08
32,4e-08
33,1.4e-07
34,1.5e-07
35,1.2e-07
36,2e-08
37,2e-08
38,1e-08
39,9.7e-09
40,5.2e-09
41,3.9e-09
42,3.1e-09
43,5.6e-09
44,1e-08
45,5.9e-09
46,1.9e-09
1,0.01365944
2,1.96723828
3,0.26515107
4,0.00776076
5,0.00062552
6,0.00040153
7,0.00028341
8,0.0001664
9,0.00011191
10,0.00010278
11,4.65e-05
12,5.476e-05
13,0.00041391
14,9.042e-05
15,4.075e-05
16,2.904e-05
17,6.8e-06
18,3.41e-06
19,2.4e-06
20,2.15e-06
21,1.12e-06
22,1.06e-06
23,5.16e-06
24,1.17e-06
25,1.1e-06
26,9.4e-07
27,3.9e-07
28,1.8e-07
29,1.5e-07
30,1.3e-07
31,6e-08
32,4e-08
33,7e-08
34,3e-07
35,5e-08
36,6e-08
37,2e-08
38,8.6e-09
39,7.4e-09
40,3.4e-09
41,1.9e-09
42,1.5e-09
43,1.5e-09
1,0.00076419
2,0.03904543
3,0.03186761
4,0.00025275
5,0.00023155
6,9.931e-05
7,5.89e-05
8,3.774e-05
9,3.028e-05
10,1.644e-05
11,9.65e-06
12,6.58e-06
13,1.704e-05
14,6.909e-05
15,6.68e-06
16,3.93e-06
17,2.37e-06
18,4.85e-06
19,7e-07
20,3.8e-07
21,2.3e-07
22,2e-07
23,1.5e-07
24,6.25e-06
25,1.4e-07
26,1.5e-07
27,6e-08
28,8e-08
29,6e-08
30,4e-08
31,2e-08
32,1e-08
33,1e-08
34,2.3e-07
35,2e-08
36,5e-09
37,5.2e-09
38,4.2e-09
39,9.3e-09
40,2.2e-09
41,9.6e-10
1,0.0010768
2,0.37237026
3,0.00240933
4,0.00035505
5,0.00010101
6,8.068e-05
7,5.444e-05
8,3.64e-05
9,2.526e-05
10,1.556e-05
11,8.29e-06
12,1.485e-05
13,8.644e-05
14,3.94e-06
15,1.05e-05
16,4.71e-06
17,1.5e-06
18,1.69e-06
19,8.3e-07
20,4e-07
21,2.4e-07
22,2.2e-07
23,6.1e-07
24,1.03e-06
25,1e-07
26,4.5e-07
27,6e-08
28,5e-08
29,3e-08
30,3e-08
31,3e-08
32,2e-08
33,2e-08
34,2e-07
35,6.4e-09
36,9.4e-09
37,1e-08
38,3.1e-09
39,1.7e-09
40,1.2e-09
41,1.1e-09
42,9.8e-10
1,0.00377135
2,1.45511889
3,0.00707031
4,0.00053768
5,0.000193
6,0.00018381
7,0.00010916
8,7.421e-05
9,4.488e-05
10,2.621e-05
11,1.544e-05
12,7.68e-05
13,9.043e-05
14,3.742e-05
15,7.88e-06
16,6.65e-06
17,4.33e-06
18,2.82e-06
19,1.34e-06
20,8.7e-07
21,5.5e-07
22,8.9e-07
23,4.46e-06
24,4.3e-07
25,7.9e-07
26,2.3e-07
27,1.9e-07
28,1.2e-07
29,1e-07
30,7e-08
31,4e-08
32,6e-08
33,4.3e-07
34,3e-08
35,8e-08
36,2e-08
37,1e-08
38,9.4e-09
39,8.9e-09
40,4.7e-09
41,2.6e-09
42,2.2e-09
43,1e-08
44,4e-09
45,2.3e-09
46,3e-09
47,7.6e-10
1,0.00421066
2,1.63394313
3,0.00893721
4,0.00049818
5,0.00023119
6,0.00014473
7,9.958e-05
8,7.08e-05
9,3.93e-05
10,2.568e-05
11,1.522e-05
12,9.416e-05
13,8.18e-05
14,4.756e-05
15,7.55e-06
16,8.16e-06
17,3.67e-06
18,2.01e-06
19,1.08e-06
20,8.1e-07
21,5.4e-07
22,1.49e-06
23,3.08e-06
24,5.5e-07
25,5.7e-07
26,2.7e-07
27,3.3e-07
28,1.3e-07
29,1e-07
30,8e-08
31,4e-08
32,8e-08
33,4.2e-07
34,4e-08
35,6e-08
36,2e-08
37,2e-08
38,9.6e-09
39,7.6e-09
40,4.9e-09
41,2.8e-09
42,2.7e-09
43,3e-08
44,2.2e-09
45,6.4e-09
46,1.5e-09
47,1.2e-09
48,9.1e-10
1,0.00112175
2,0.41404559
3,0.00316771
4,0.00016372
5,6.462e-05
6,4.53e-05
7,3.528e-05
8,2.411e-05
9,1.376e-05
10,1.082e-05
11,5.23e-06
12,1.617e-05
13,4.058e-05
14,5.3e-06
15,3.83e-06
16,1.8e-06
17,1.72e-06
18,8.6e-07
19,2.9e-07
