step,total_force_ry_bohr
82,0.346613
41,0.2049
41,0.088119
40,0.053994
42,0.051463
42,0.045917
46,0.035037
43,0.028275
41,0.024925
42,0.021936
47,0.018735
48,0.016384
40,0.01384
41,0.011766
41,0.011202
43,0.011369
42,0.011275
40,0.010723
41,0.010131
45,0.010184
42,0.010858
41,0.012047
44,0.013141
47,0.013929
48,0.015333
42,0.016561
47,0.017218
50,0.017866
50,0.017808
44,0.016424
43,0.01401
40,0.011375
39,0.008829
40,0.006986
37,0.006175
39,0.00589
38,0.005806
39,0.00591
36,0.006016
39,0.006042
48,0.005853
49,0.005545
40,0.004964
37,0.004068
36,0.00315
33,0.002324
37,0.001683
28,0.001234
