step,scf_accuracy_ry
1,970.91059578
2,72244.25773271
3,419.32561298
4,140.68113172
5,6.91382804
6,3.48614191
7,3.67351629
8,0.64762557
9,1.43648663
10,4.93345849
11,0.63361074
12,1.47323826
13,0.05749698
14,0.01994615
15,0.02664512
16,0.01414084
17,0.00581259
18,0.00208241
19,0.00180404
20,0.00137881
21,0.00083099
22,0.00152418
23,0.00040594
24,0.00018242
25,0.00012126
26,0.00029882
27,3.896e-05
28,2.266e-05
29,1.598e-05
30,1.377e-05
31,7.3e-06
32,8.74e-06
33,4.04e-06
34,3.22e-06
35,1.55e-06
36,1.48e-06
37,1.59e-06
38,8.2e-07
39,4.5e-07
40,2.9e-07
41,1.7e-07
42,1.9e-07
43,8e-08
44,6e-08
45,3e-08
46,3e-08
47,4e-08
48,8.9e-09
