step,energy_ry
1,-8039.89297508
2,-8039.89425265
3,-8039.89564783
4,-8039.89772504
5,-8039.90081257
6,-8039.90538633
7,-8039.9121212
8,-8039.9218902
9,-8039.93561771
10,-8039.95354645
11,-8039.97199851
12,-8039.97857119
13,-8039.98189809
14,-8039.98475417
15,-8039.98871932
16,-8039.99433501
17,-8040.00238165
18,-8040.01370824
19,-8040.02884329
20,-8040.04531169
21,-8040.05237781
22,-8040.05621415
23,-8040.06530787
24,-8040.07275058
25,-8040.0787975
26,-8040.08463804
27,-8040.09223156
28,-8040.10672483
