step,scf_accuracy_ry
1,438.78874958
2,91585.95547556
3,1027.75461203
4,328.57790736
5,38.33944409
6,19.18080527
7,19.14115553
8,38.15472767
9,19.79743911
10,15.42373042
11,3.17357109
12,5.36294714
13,0.23584669
14,0.11117005
15,0.10891201
16,0.03805398
17,0.03902706
18,0.02578165
19,0.0089507
20,0.00992279
21,0.00872271
22,0.02243018
23,0.00191837
24,0.00266518
25,0.00309355
26,0.00190838
27,0.0011539
28,0.0009107
29,0.00077534
30,0.00058786
31,0.00040681
32,0.00073518
33,0.00038784
34,0.00037676
35,0.00013661
36,8.675e-05
37,0.00039346
38,9.975e-05
39,6.408e-05
40,8.642e-05
41,5.405e-05
42,2.889e-05
43,3.887e-05
44,4.942e-05
45,3.205e-05
46,1.177e-05
47,6.05e-06
48,2.947e-05
49,3.63e-06
50,5.71e-06
51,3.66e-06
52,1.78e-06
53,7.09e-06
54,6.63e-06
55,8.9e-07
56,3.34e-06
57,5.5e-07
58,5.8e-07
59,2.38e-06
60,2.1e-07
61,1.4e-07
62,3.5e-07
