step,energy_ry
89,-8040.90422659
44,-8040.99773905
39,-8041.04888315
39,-8041.06128996
39,-8041.06476874
38,-8041.06870893
41,-8041.07357821
40,-8041.07580772
38,-8041.07702717
39,-8041.07818425
39,-8041.07945053
38,-8041.08025969
38,-8041.08086692
39,-8041.0813569
37,-8041.08176509
38,-8041.08216572
40,-8041.08252294
37,-8041.08285553
37,-8041.08316733
39,-8041.08349452
40,-8041.08384406
40,-8041.08425929
40,-8041.08473865
39,-8041.08523735
38,-8041.0856747
39,-8041.08606254
40,-8041.08642354
46,-8041.08676218
46,-8041.0870257
40,-8041.08720943
38,-8041.0873628
37,-8041.08749752
37,-8041.08760023
36,-8041.08767834
33,-8041.08776009
36,-8041.0878574
41,-8041.08800152
40,-8041.08818154
39,-8041.08838607
38,-8041.08863123
40,-8041.08893234
41,-8041.08917399
41,-8041.08938277
40,-8041.08953601
40,-8041.08964493
40,-8041.08971749
38,-8041.08975609
38,-8041.08977862
36,-8041.08979572
31,-8041.08980978
