step,gradient_error_ry_bohr
89,0.07
44,0.044
39,0.022
39,0.0098
39,0.0097
38,0.0092
41,0.0073
40,0.0062
38,0.0051
39,0.0053
39,0.0056
38,0.0041
38,0.0035
39,0.0039
37,0.0032
38,0.0025
40,0.0026
37,0.0024
37,0.0031
39,0.0031
40,0.0036
40,0.0038
40,0.0036
39,0.0041
38,0.0037
39,0.0027
40,0.0027
46,0.0027
46,0.0023
40,0.002
38,0.0021
37,0.0019
37,0.0016
36,0.0015
33,0.0015
36,0.0016
41,0.0016
40,0.0021
39,0.0021
38,0.0023
40,0.0024
41,0.0023
41,0.0018
40,0.0019
40,0.0019
40,0.0012
38,0.0011
38,0.00066
36,0.00058
31,0.0005
