step,scf_accuracy_ry
1,414.42700916
2,27651.25548257
3,236.63407496
4,90.53287638
5,26.89070543
6,16.76356059
7,19.0502991
8,687.33922825
9,388.97162364
10,13.77110978
11,55.47565758
12,40.22491321
13,13.82194456
14,19.83025264
15,23.89031676
16,21.66322731
17,18.14581193
18,14.9952326
19,0.58562915
20,0.11300266
21,0.17377112
22,0.07702844
23,0.16119475
24,0.09462941
25,0.02825352
26,0.02937719
27,0.00644412
28,0.00457583
29,0.00321629
30,0.00188515
31,0.00194476
32,0.00432913
33,0.00110793
34,0.00033834
35,0.00021485
36,0.00024478
37,0.00026746
38,0.00012116
39,0.00015938
40,8.108e-05
41,0.00013435
42,6.159e-05
43,4.819e-05
44,2.49e-05
45,1.831e-05
46,2.102e-05
47,1.515e-05
48,9.79e-06
49,6.75e-06
50,1.169e-05
51,3.69e-06
52,7.65e-06
53,4.52e-06
54,3.06e-06
55,1.72e-06
56,1.58e-06
57,2.68e-06
58,9.1e-07
59,1.02e-06
60,6.8e-07
61,9e-07
62,4.7e-07
63,7.5e-07
64,2.9e-07
65,1.1e-07
66,1e-07
67,1.3e-07
68,8e-08
69,6e-08
70,1e-07
71,5e-08
72,1e-07
73,3e-08
74,4e-08
75,3e-08
76,3e-08
77,5e-08
78,2e-08
79,2e-08
80,2e-08
81,3e-08
82,2e-08
83,2e-08
84,1e-08
85,2e-08
86,1e-08
87,2e-08
88,1e-08
89,9e-09
1,0.03029715
2,2.14671308
3,0.12688708
4,0.01908503
5,0.00921068
6,0.00351179
7,0.00136024
8,0.00068051
9,0.00035081
10,0.00019563
11,0.00015737
12,0.00045751
13,0.00025754
14,0.00026601
15,0.00013999
16,2.604e-05
17,1.446e-05
18,1.237e-05
19,5.53e-06
20,3.98e-06
21,1.92e-06
22,4.95e-06
23,8.8e-07
24,1.37e-06
25,1.66e-06
26,1.11e-06
27,4.4e-07
28,2.4e-07
29,2e-07
30,1.3e-07
31,9e-08
32,6e-08
33,1.5e-07
34,1e-07
35,1.1e-07
36,6e-08
37,4e-08
38,4e-08
